ecosystem,observation_subset,observation_subset_label,mode,degrees_of_freedom,averaging_kernel_diagonal,posterior_sd,prior_sd,uncertainty_reduction_fraction,information_gain_nats,posterior_log10_sd
Harvard Forest,prior_only,Prior,fast,0.3829027242999683,0.3829027242999683,0.3927776965727661,0.5,0.3829027242999683,0.24136430417319216,-0.40585318109481655
Harvard Forest,prior_only,Prior,intermediate,0.0,0.0,0.46679868199987146,0.4109589159488678,0.0,-0.12740482862432104,-0.3308703788498702
Harvard Forest,prior_only,Prior,slow,0.3679001975269296,0.3679001975269296,0.3975235220943128,0.5,0.3679001975269296,0.22935399099854892,-0.4006371683571391
Harvard Forest,stocks_only,Stocks,fast,0.9906024089445464,0.9906024089445464,0.04847058658468453,0.5,0.9906024089445464,2.3336509466227753,-1.3145217244705525
Harvard Forest,stocks_only,Stocks,intermediate,0.9270737856350476,0.9270737856350476,0.11097885556304544,0.4109589159488678,0.9270737856350476,1.3091535555610974,-0.9547597580334491
Harvard Forest,stocks_only,Stocks,slow,0.9817930280816048,0.9817930280816048,0.06746660640345559,0.5,0.9817930280816048,2.002975342906803,-1.1709111344766794
Harvard Forest,soil14c_only,Soil 14C,fast,0.9998034955790366,0.9998034955790366,0.0070090017292652315,0.5,0.9998034955790366,4.2674128141833565,-2.1543438328670397
Harvard Forest,soil14c_only,Soil 14C,intermediate,0.9790235419199815,0.9790235419199815,0.05952021432157819,0.4109589159488678,0.9790235419199815,1.9321772569534923,-1.2253355136431054
Harvard Forest,soil14c_only,Soil 14C,slow,0.991264231455123,0.991264231455123,0.046732666692788416,0.5,0.991264231455123,2.370164677367837,-1.330379436246834
Harvard Forest,resp14c_only,Respired 14C,fast,0.9999398891848338,0.9999398891848338,0.00387655824044546,0.5,0.9999398891848338,4.85966038988153,-2.411553686913335
Harvard Forest,resp14c_only,Respired 14C,intermediate,0.9730307996081354,0.9730307996081354,0.06748891439059419,0.4109589159488678,0.9730307996081354,1.8065298951642135,-1.1707675577523202
Harvard Forest,resp14c_only,Respired 14C,slow,0.893645986339174,0.893645986339174,0.16305981545189638,0.5,0.893645986339174,1.120490998968416,-0.7876530535382265
Harvard Forest,stocks_soil14c,Stocks + Soil 14C,fast,0.9994271253858159,0.9994271253858159,0.0119673996150386,0.5,0.9994271253858159,3.732421844304151,-1.922000206780432
Harvard Forest,stocks_soil14c,Stocks + Soil 14C,intermediate,0.9653140088012917,0.9653140088012917,0.07653770962141394,0.4109589159488678,0.9653140088012917,1.6807096926978407,-1.1161245381092246
Harvard Forest,stocks_soil14c,Stocks + Soil 14C,slow,0.9536464060410922,0.9536464060410922,0.107649424010196,0.5,0.9536464060410922,1.5357282252048985,-0.9679882895735431
Harvard Forest,stocks_resp14c,Stocks + Respired 14C,fast,0.9998626707512365,0.9998626707512365,0.005859378140286704,0.5,0.9998626707512365,4.446564619869332,-2.2321484734994628
Harvard Forest,stocks_resp14c,Stocks + Respired 14C,intermediate,0.9824360846855374,0.9824360846855374,0.054463942346428394,0.4109589159488678,0.9824360846855374,2.020954373917397,-1.263890925659809
Harvard Forest,stocks_resp14c,Stocks + Respired 14C,slow,0.9520612225147438,0.9520612225147438,0.10947462889324662,0.5,0.9520612225147438,1.5189152756171904,-0.9606865183430838
Harvard Forest,all_observations,All observations,fast,0.9999076402118281,0.9999076402118281,0.004805200000310882,0.5,0.9999076402118281,4.644909433492412,-2.318288531570095
Harvard Forest,all_observations,All observations,intermediate,0.9825451987478644,0.9825451987478644,0.05429450289034237,0.4109589159488678,0.9825451987478644,2.02407026239492,-1.265244138831823
Harvard Forest,all_observations,All observations,slow,0.9789556687595556,0.9789556687595556,0.07253332206724776,0.5,0.9789556687595556,1.9305620274313968,-1.139462431149391
Barrow,prior_only,Prior,fast,0.0,0.0,0.5685382986346553,0.5,0.0,-0.12846058037027155,-0.2452402744670831
Barrow,prior_only,Prior,intermediate,0.0,0.0,0.5628629493297437,0.5,0.0,-0.11842807082933672,-0.2495973380003528
Barrow,prior_only,Prior,slow,0.2991066157226445,0.2991066157226445,0.4185968777587082,0.5,0.2991066157226445,0.1776997472085149,-0.37820401531224196
Barrow,stocks_only,Stocks,fast,0.969424341356009,0.969424341356009,0.08742948393418418,0.5,0.969424341356009,1.7437755278639444,-1.0583420850932224
Barrow,stocks_only,Stocks,intermediate,0.9126959000077901,0.9126959000077901,0.14773633607901776,0.5,0.9126959000077901,1.2191789264191717,-0.8305126758605581
Barrow,stocks_only,Stocks,slow,0.9221870090501602,0.9221870090501602,0.13947490002670715,0.5,0.9221870090501602,1.2767234414737414,-0.8555039412125564
Barrow,soil14c_only,Soil 14C,fast,0.9997343511649476,0.9997343511649476,0.008149368611316777,0.5,0.9997343511649476,4.11666764517453,-2.0888760377929336
Barrow,soil14c_only,Soil 14C,intermediate,0.9892524966057231,0.9892524966057231,0.05183508318281376,0.5,0.9892524966057231,2.2665408968868768,-1.285376200189999
Barrow,soil14c_only,Soil 14C,slow,0.902411780757655,0.902411780757655,0.15619556591205222,0.5,0.902411780757655,1.1634992486663165,-0.8063312990583419
Barrow,resp14c_only,Respired 14C,fast,0.9931945777144787,0.9931945777144787,0.041247491698045265,0.5,0.9931945777144787,2.4950177948104564,-1.3846024562005823
Barrow,resp14c_only,Respired 14C,intermediate,0.9513612711549008,0.9513612711549008,0.11027094908122818,0.5,0.9513612711549008,1.5116675878034693,-0.9575388875190273
Barrow,resp14c_only,Respired 14C,slow,0.779853466723897,0.779853466723897,0.23459887748884425,0.5,0.779853466723897,0.756730947001799,-0.6296740702322846
