site,biome,dfs_tau_bulk_resp,dfs_tau_fraction,ur_tau_mean_bulk_resp,ur_tau_mean_fraction,ur_tau_active_bulk_resp,ur_tau_active_fraction,ur_tau_slow_bulk_resp,ur_tau_slow_fraction,ur_tau_passive_bulk_resp,ur_tau_passive_fraction,dfs_tau_ratio,ur_delta_active,ur_delta_slow,ur_delta_passive
EML,tundra/permafrost,2.3149377703666687,1.708316534757614,0.5946859968794805,0.4494217359555466,0.9125400205794996,0.9520023444920273,0.5783221564216168,0.1569387633368273,0.2931958136373255,0.2393241000377853,0.7379535452855951,0.039462323912527686,-0.42138339308478945,-0.05387171359954021
Howland Forest,temperate evergreen forest,2.4875974655151367,2.0642994344234467,0.6883843519515871,0.539341795488109,0.979516080884538,0.9810524612744213,0.7595715492584032,0.3753638849978264,0.3260654257118203,0.2616090401920795,0.8298366046115775,0.0015363803898832407,-0.3842076642605768,-0.06445638551974081
Appi forest,cool-temperate forest,2.003896862268448,1.8490374386310575,0.4512131233778035,0.3917924270451292,0.654089510334428,0.5467251334891343,0.4739954398120813,0.3653715545991266,0.2255544199869013,0.2632805930471265,0.9227208612612494,-0.10736437684529365,-0.10862388521295469,0.03772617306022519
Harvard Forest,temperate deciduous forest,2.10727921128273,2.036125063896179,0.5279824182791626,0.487448638735601,0.8932606183219599,0.8232984158077725,0.4550903485756484,0.3765731343958833,0.2355962879398795,0.2624743660031472,0.9662341150590869,-0.06996220251418739,-0.0785172141797651,0.026878078063267724
Solling,temperate forest,2.099590390920639,2.150173932313919,0.5413499575558912,0.5387345853566665,0.947468410193778,0.8986609330713823,0.442997136779145,0.4514957718538352,0.2335843256947505,0.266047051144782,1.0240920998743472,-0.04880747712239575,0.00849863507469023,0.03246272545003151
