site_id,site_label,subset_key,subset_label,metric,n_valid,median,p05,p95,variance
US-Ha1,Harvard Forest,prior_only,Prior,frac_loss,6,0.21048788836768606,0.19794604866092708,0.22786484797221046,0.00017231735694021738
US-Ha1,Harvard Forest,prior_only,Prior,abs_loss,6,1021.2082901000977,646.2856521606445,1632.9122314453125,164105.03089883266
US-Ha1,Harvard Forest,prior_only,Prior,old_fraction,6,0.7517837908146989,0.5908280919499276,0.8088084883483928,0.009547396418451317
US-Ha1,Harvard Forest,stocks_only,Stocks,frac_loss,6,0.18231449862457777,0.17936730338081647,0.18285641135744818,2.9379349223510076e-06
US-Ha1,Harvard Forest,stocks_only,Stocks,abs_loss,6,1815.52490234375,1698.5740966796875,1928.6482849121094,9790.981917961935
US-Ha1,Harvard Forest,stocks_only,Stocks,old_fraction,6,0.8542557144663613,0.832938052877693,0.8665986707859474,0.00021310245222224848
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,frac_loss,6,0.1668114610705751,0.16641195531901354,0.16909897793893094,1.6051527744187827e-06
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,abs_loss,6,1810.0979614257812,1806.2522430419922,1835.4598999023438,193.24906805219752
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,old_fraction,6,0.8804817325862334,0.8803698655277377,0.8834394510078241,2.4294013648106544e-06
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,frac_loss,6,0.19479352052000107,0.19043582578109514,0.201913209591146,2.4659477814837276e-05
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,abs_loss,6,1580.9210205078125,1555.6815948486328,1582.1124267578125,188.33414354982477
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,old_fraction,6,0.8752848290180482,0.8683665439974728,0.8772874100004535,1.7222327953881844e-05
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",frac_loss,6,0.1556835504731272,0.15384889731637716,0.15832627840402902,4.298620848765322e-06
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",abs_loss,6,1691.8984069824219,1669.5083618164062,1722.9727630615234,602.5770901709795
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",old_fraction,6,0.8535750062043098,0.8467663144870384,0.8591998000326451,3.2346214266991335e-05
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",frac_loss,6,0.17366806285057595,0.17276023847086408,0.17455796215547098,5.980369592578878e-07
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",abs_loss,6,1517.2501831054688,1477.0863647460938,1565.7708129882812,1452.2142033139867
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",old_fraction,6,0.8566449965302635,0.8504747083476738,0.8674465012779955,5.4241999659089385e-05
US-Ha1,Harvard Forest,all_observations,All,frac_loss,6,0.1367834804358582,0.13653508695842698,0.13680536818700012,1.8222340899944047e-08
US-Ha1,Harvard Forest,all_observations,All,abs_loss,6,1421.2709655761719,1420.485107421875,1422.8638916015625,1.4221759534130491
US-Ha1,Harvard Forest,all_observations,All,old_fraction,6,0.8384291932630019,0.8364794298096473,0.8387437390015404,1.1853248554849475e-06
US-A10,Barrow,prior_only,Prior,frac_loss,6,0.07205288969440576,0.052964817155678634,0.08769036391800639,0.00019766581719538523
US-A10,Barrow,prior_only,Prior,abs_loss,6,1819.0379180908203,890.0462036132812,2379.160129547119,415435.4407721759
US-A10,Barrow,prior_only,Prior,old_fraction,6,0.9186329432416709,0.869691387639246,0.9665870172508226,0.0018785982390581673
US-A10,Barrow,stocks_only,Stocks,frac_loss,6,0.06362747779521065,0.059808560068945076,0.06736404373129247,1.371989412282323e-05
US-A10,Barrow,stocks_only,Stocks,abs_loss,6,2745.2347412109375,2580.4947967529297,2835.5034790039062,12493.956407865011
US-A10,Barrow,stocks_only,Stocks,old_fraction,6,0.9129323724665022,0.8848260380029359,0.9408569187400012,0.0005790109418886323
US-A10,Barrow,soil14c_only,Pool 14C,frac_loss,6,0.04563342713828365,0.04250674257818279,0.04726303691516414,4.104639138474709e-06
US-A10,Barrow,soil14c_only,Pool 14C,abs_loss,6,1561.1885986328125,1492.7304992675781,1573.7140808105469,1393.2906070391336
US-A10,Barrow,soil14c_only,Pool 14C,old_fraction,6,0.6806313025791191,0.6637111267264241,0.6853142210846012,8.622637577102127e-05
US-A10,Barrow,resp14c_only,Resp 14C,frac_loss,6,0.07400473691043719,0.06977698093292076,0.0745251150980465,5.426368280217048e-06
US-A10,Barrow,resp14c_only,Resp 14C,abs_loss,6,2037.0283813476562,2029.8753662109375,2093.2796630859375,962.969400378565
US-A10,Barrow,resp14c_only,Resp 14C,old_fraction,6,0.8840816741651895,0.8816445519977927,0.8905293871208266,1.6695386333376065e-05
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",frac_loss,6,0.0464181874876142,0.0464181874876142,0.047442282616484116,2.753557119401011e-07
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",abs_loss,6,1521.6995849609375,1521.6995849609375,1559.4134216308594,325.56584674368304
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",old_fraction,6,0.6782755569392646,0.6778661867551488,0.6897118114537946,3.93564936045143e-05
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",frac_loss,6,0.05916461336178224,0.05916461336178224,0.05916461336178224,0.0
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",abs_loss,6,2083.9038696289062,2083.9038696289062,2083.9038696289062,0.0
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",old_fraction,6,0.8855918019674602,0.8855918019674602,0.8855918019674602,0.0
US-A10,Barrow,all_observations,All,frac_loss,6,0.04191554465642398,0.041204300076217705,0.04262678923663025,6.070426234473547e-07
US-A10,Barrow,all_observations,All,abs_loss,6,1201.8819885253906,1191.1969604492188,1212.5670166015625,137.00378998629748
US-A10,Barrow,all_observations,All,old_fraction,6,0.6535763304085005,0.6472672326365534,0.6598854281804475,4.776565763518464e-05
US-Ho1,Howland Forest,prior_only,Prior,frac_loss,6,0.08914378657621584,0.0728761129947807,0.10212346858070712,0.00013799672434619418
US-Ho1,Howland Forest,prior_only,Prior,abs_loss,6,458.1155014038086,221.94960975646973,996.516357421875,111777.70062713095
US-Ho1,Howland Forest,prior_only,Prior,old_fraction,6,0.8584646249508867,0.6304045396234976,0.9201261778047843,0.017932982782074287
