site_id,site_label,metric,u_soil14c,u_resp14c,prior_variance,stocks_soil14c_variance,stocks_resp14c_variance
US-Ha1,Harvard Forest,frac_loss,0.9750540460630635,0.9965294444513482,0.00017231735694021738,4.298620848765322e-06,5.980369592578878e-07
US-Ha1,Harvard Forest,old_fraction,0.9966120382092358,0.994318660577007,0.009547396418451317,3.2346214266991335e-05,5.4241999659089385e-05
US-A10,Barrow,frac_loss,0.9986069634302631,1.0,0.00019766581719538523,2.753557119401011e-07,0.0
US-A10,Barrow,old_fraction,0.9790500742594939,1.0,0.0018785982390581673,3.93564936045143e-05,0.0
US-Ho1,Howland Forest,frac_loss,0.9820581243361396,0.942090884625914,0.00013799672434619418,2.4759200702394364e-06,7.991268231409713e-06
US-Ho1,Howland Forest,old_fraction,0.9878932970506514,0.9812701829881524,0.017932982782074287,0.00021710929553835556,0.00033588148598486444
US-EML,Eight-mile Lake,frac_loss,0.9996911758217849,0.964074969271203,0.0035660771545078856,1.1012908466926813e-06,0.00012811143135695678
US-EML,Eight-mile Lake,old_fraction,0.9988750367170198,0.9746082179134822,0.03355304960320566,3.77459488356199e-05,0.0008519717238627227
