biome_group,n_sites,mean_dfs,shapley_share_cstocks,shapley_share_bulk14C,shapley_share_fraction14C,shapley_share_resp14C,biome_label,biome_label_n,subset
arctic_permafrost,2,2.026918231975425,0.13996990832517564,0.29870443777132427,0.0,0.5613256539035001,Arctic / permafrost,Arctic / permafrost (n=2),all_sites
boreal,2,0.987978011371003,0.46786650624142934,0.4072788286859734,0.0,0.12485466507259721,Boreal,Boreal (n=2),all_sites
peatland,1,1.142147891224428,0.3353441648650358,0.3671170386612345,0.0,0.2975387964737296,Peatland,Peatland (n=1),all_sites
temperate_forest,7,1.0442726181101778,0.4241464036522874,0.2996057573111167,0.073057574564348,0.20319026447224786,Temperate forest,Temperate forest (n=7),all_sites
tropical,5,0.9763633059349427,0.5876091609024818,0.3291989154812099,1.2316169006957678e-07,0.08319180045461812,Tropical,Tropical (n=5),all_sites
grassland_mediterranean,2,0.455275791231733,0.9999992012762173,0.0,7.987237826103096e-07,0.0,Grassland / Mediterranean,Grassland / Mediterranean (n=2),all_sites
arctic_permafrost,2,2.026918231975425,0.13996990832517564,0.29870443777132427,0.0,0.5613256539035001,Arctic / permafrost,Arctic / permafrost (n=2),tower_bulk_resp
boreal,2,0.987978011371003,0.46786650624142934,0.4072788286859734,0.0,0.12485466507259721,Boreal,Boreal (n=2),tower_bulk_resp
peatland,1,1.142147891224428,0.3353441648650358,0.3671170386612345,0.0,0.2975387964737296,Peatland,Peatland (n=1),tower_bulk_resp
temperate_forest,4,1.2697888328831786,0.25261727702793374,0.39179976014563245,0.0,0.35558296282643376,Temperate forest,Temperate forest (n=4),tower_bulk_resp
tropical,3,1.3175179523744462,0.31268214010695333,0.5486648591353498,0.0,0.13865300075769685,Tropical,Tropical (n=3),tower_bulk_resp
