ecosystem,draw_or_member_obscon,carbon_stock_obscon,baseline_respiration_obscon,cumulative_carbon_loss_obscon,slow_carbon_fraction_of_excess_respiration_obscon,draw_or_member_cesm,carbon_stock_cesm,baseline_respiration_cesm,cumulative_carbon_loss_cesm,slow_carbon_fraction_of_excess_respiration_cesm
Barrow,5.5,29984.306640625,87.4977124147341,5358.338684082031,0.067895717487941,0.0,30046.370330810547,81.45636805222455,1322.715503692627,0.28803434931064426
Eight-mile Lake,5.5,37484.014892578125,271.92222763483437,8503.57275390625,0.015515816970746664,0.0,11968.205291748047,221.34576657383658,1408.0878448486328,0.10703182526024516
Harvard Forest,5.5,10428.538391113281,416.78870359795513,1610.504638671875,0.21365624981957282,0.0,6639.4158935546875,391.4490117706936,1034.2920989990234,0.33807206530541273
Howland Forest,5.5,12812.202392578125,337.11120374841846,6232.526397705078,0.27252647182699363,0.0,6270.2225341796875,299.66554689692333,1993.4753112792969,0.4693345591454764
