ecosystem,model_source,mode,n,q05,median,q95,q25,q75,mean,sd
Harvard Forest,observation_constrained,fast,12,2.214275799491455,2.2277323143825103,2.2416851327604923,2.2191533395448877,2.238374999822002,2.2283990113184955,0.010705503724646225
Harvard Forest,observation_constrained,intermediate,12,30.907800698554208,34.526702366822725,36.26842785393447,33.29029263485028,35.55319145762661,34.16698621035473,1.816784525434591
Harvard Forest,observation_constrained,slow,12,290.49152685625023,329.863493815222,354.8329601712378,315.3035048632994,334.27350314285184,324.9276470147807,22.660190552383195
Harvard Forest,CESM,fast,1,0.37607091665267944,0.37607091665267944,0.37607091665267944,0.37607091665267944,0.37607091665267944,0.37607091665267944,0.0
Harvard Forest,CESM,intermediate,1,20.120471954345703,20.120471954345703,20.120471954345703,20.120471954345703,20.120471954345703,20.120471954345703,0.0
Harvard Forest,CESM,slow,1,234.21286010742188,234.21286010742188,234.21286010742188,234.21286010742188,234.21286010742188,234.21286010742188,0.0
Barrow,observation_constrained,fast,12,5.084861011422059,5.142496675049638,5.17327022240423,5.110931997620573,5.144294581619073,5.131018772532305,0.03281355829306651
Barrow,observation_constrained,intermediate,12,22.924019451414306,23.74158158255186,27.020255647764607,23.19242187381346,24.192752780241786,24.19226928246744,1.4789565406800482
Barrow,observation_constrained,slow,12,1850.5363881343878,2118.453894355951,2289.9837619001128,2011.4147067077172,2156.409498016166,2077.8361137472357,154.8040534913912
Barrow,CESM,fast,1,0.31352829933166504,0.31352829933166504,0.31352829933166504,0.31352829933166504,0.31352829933166504,0.31352829933166504,0.0
Barrow,CESM,intermediate,1,6.664351463317871,6.664351463317871,6.664351463317871,6.664351463317871,6.664351463317871,6.664351463317871,0.0
Barrow,CESM,slow,1,2534.4296875,2534.4296875,2534.4296875,2534.4296875,2534.4296875,2534.4296875,0.0
Howland Forest,observation_constrained,fast,12,8.726271863849737,8.747076712891646,8.749779348773933,8.728681532526213,8.747243556504237,8.739487251596715,0.010677541488633441
Howland Forest,observation_constrained,intermediate,12,21.463812251152355,25.019869858453408,26.5990237829773,21.8871207254135,26.5990237829773,24.202508908651854,2.3086036410294577
Howland Forest,observation_constrained,slow,12,315.1985322045035,369.1534548012004,407.28188376572126,329.46435727833693,383.1032132765068,359.68459818189757,35.64823975764557
Howland Forest,CESM,fast,1,0.7577598094940186,0.7577598094940186,0.7577598094940186,0.7577598094940186,0.7577598094940186,0.7577598094940186,0.0
Howland Forest,CESM,intermediate,1,22.832839965820312,22.832839965820312,22.832839965820312,22.832839965820312,22.832839965820312,22.832839965820312,0.0
Howland Forest,CESM,slow,1,276.7358093261719,276.7358093261719,276.7358093261719,276.7358093261719,276.7358093261719,276.7358093261719,0.0
Eight-mile Lake,observation_constrained,fast,12,23.820790792818887,23.87146896624221,23.889578157207723,23.858996673067935,23.876477925191097,23.864565097453312,0.030387872826282688
Eight-mile Lake,observation_constrained,intermediate,12,36.30243707043833,38.1109552589771,42.332503147872785,36.61959545028477,42.32009136261718,38.963629916752716,2.7360448899362053
Eight-mile Lake,observation_constrained,slow,12,1127.249305775628,1225.8729685268468,1616.2338534135515,1129.8300806256743,1228.8015081017681,1261.404590685231,188.06743778093067
Eight-mile Lake,CESM,fast,1,0.32130932807922363,0.32130932807922363,0.32130932807922363,0.32130932807922363,0.32130932807922363,0.32130932807922363,0.0
Eight-mile Lake,CESM,intermediate,1,29.23563575744629,29.23563575744629,29.23563575744629,29.23563575744629,29.23563575744629,29.23563575744629,0.0
Eight-mile Lake,CESM,slow,1,759.3397827148438,759.3397827148438,759.3397827148438,759.3397827148438,759.3397827148438,759.3397827148438,0.0
