network,tower_id,tower_name,tower_lat,tower_lon,nearest_layer_site,nearest_layer_km,nearest_layer_obs,nearest_fraction_site,nearest_fraction_km,nearest_fraction_obs,nearest_flux_site,nearest_flux_km,nearest_flux_obs,nearest_incubation_site,nearest_incubation_km,nearest_incubation_obs,nearest_interstitial_site,nearest_interstitial_km,nearest_interstitial_obs,nearest_eligible_path,nearest_eligible_site,nearest_eligible_km,nearest_fraction_path_site,nearest_fraction_path_km,nearest_pool_resp_path_site,nearest_pool_resp_path_km,eligible_within_1km,eligible_within_25km
AmeriFlux,US-CF1,CAF-LTAR Cook East,46.7815,-117.0821,EarlyEvansCreek1,348.4159401416718,6,Andrews Experimental Forest,483.5035589978142,12,Chiquito,1072.1085217759164,11,EarlyEvansCreek1,348.4159401416718,4,Sedgwick Reserve,1366.1968068377507,29,pool+respiration,EarlyEvansCreek1,348.4159401416718,Andrews Experimental Forest,483.5035589978142,EarlyEvansCreek1,348.4159401416718,False,False
AmeriFlux,US-CF2,CAF-LTAR Cook West,46.784,-117.0908,EarlyEvansCreek1,349.0902341708237,6,Andrews Experimental Forest,483.1078105060423,12,Chiquito,1072.2692627710549,11,EarlyEvansCreek1,349.0902341708237,4,Sedgwick Reserve,1366.3368815864585,29,pool+respiration,EarlyEvansCreek1,349.0902341708237,Andrews Experimental Forest,483.1078105060423,EarlyEvansCreek1,349.0902341708237,False,False
AmeriFlux,US-LA3,Barataria Bay Saline Marsh,29.4936,-89.9153,LENO,311.4702410571968,3,Western Coastal Plain,351.156616026784,20,Treynor,1397.1725756218907,9,Goodwin Creek,542.7873125293588,6,HarvardForest,2147.190462515138,113,fraction,Western Coastal Plain,351.156616026784,Western Coastal Plain,351.156616026784,Goodwin Creek,542.7873125293588,False,False
AmeriFlux,US-CF3,CAF-LTAR Boyd North,46.7551,-117.1261,EarlyEvansCreek1,351.6467039604445,6,Andrews Experimental Forest,479.0862462714214,12,Chiquito,1068.6470212171387,11,EarlyEvansCreek1,351.6467039604445,4,Sedgwick Reserve,1362.6536202746122,29,pool+respiration,EarlyEvansCreek1,351.6467039604445,Andrews Experimental Forest,479.0862462714214,EarlyEvansCreek1,351.6467039604445,False,False
AmeriFlux,US-CF4,CAF-LTAR Boyd South,46.7518,-117.1285,EarlyEvansCreek1,351.816623926816,6,Andrews Experimental Forest,478.73045732009456,12,Chiquito,1068.2545737530265,11,EarlyEvansCreek1,351.816623926816,4,Sedgwick Reserve,1362.2577908220646,29,pool+respiration,EarlyEvansCreek1,351.816623926816,Andrews Experimental Forest,478.73045732009456,EarlyEvansCreek1,351.816623926816,False,False
AmeriFlux,US-An2,Anaktuvuk River Moderate Burn,68.95,-150.21,TOOL,46.59415101169964,3,Hess Creek,380.1218151728162,22,Barrow,352.2887653958388,49,Tundra,40.41855750902549,14,Ikpikpuk River,260.8604579668509,1,pool+respiration,Barrow,352.2887653958388,Hess Creek,380.1218151728162,Barrow,352.2887653958388,False,False
AmeriFlux,US-Ced,Cedar Bridge,39.8379,-74.3791,Richards,210.1227944389937,3,Harvard Forest,352.3013992064738,88,Harvard Forest,350.92385316684636,175,Harvard Forest,350.92385316684636,70,HarvardForest,351.52865819985,113,fraction|pool+respiration,Harvard Forest,352.3013992064738,Harvard Forest,352.3013992064738,Harvard Forest,352.3013992064738,False,False
AmeriFlux,US-An3,Anaktuvuk River Unburned,68.93,-150.27,TOOL,46.93480307433613,3,Hess Creek,378.3090273610261,22,Barrow,352.47061725181135,49,Tundra,39.80013961375144,14,Ikpikpuk River,261.32369728318605,1,pool+respiration,Barrow,352.47061725181135,Hess Creek,378.3090273610261,Barrow,352.47061725181135,False,False
AmeriFlux,CA-Let,Alberta - Mixed Grass Prairie,49.7093,-112.9402,EarlyEvansCreek1,352.5546090827965,6,Matador,378.2067550091117,9,CZ_Old_Black_Spruce,1185.8872191120333,1,EarlyEvansCreek1,352.5546090827965,4,TH_Old_Jack_Pine,1181.1176902905424,8,pool+respiration,EarlyEvansCreek1,352.5546090827965,Matador,378.2067550091117,EarlyEvansCreek1,352.5546090827965,False,False
AmeriFlux,CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",48.2167,-82.1556,MI-Coarse UMBS,353.6120307541275,48,MI-Coarse UMBS,353.6120307541275,30,Harvard Forest,1001.3550662619317,156,MI-Coarse UMBS,353.6120307541275,13,Harvard Forest,1001.3550662619317,192,fraction|pool+respiration,MI-Coarse UMBS,353.6120307541275,MI-Coarse UMBS,353.6120307541275,MI-Coarse UMBS,353.6120307541275,False,False
