site,biome,dfs_total_bulk_resp,dfs_total_combined,dfs_total_fraction,dfs_tau_bulk_resp,dfs_tau_combined,dfs_tau_fraction,ur_tau_mean_bulk_resp,ur_tau_mean_combined,ur_tau_mean_fraction,dfs_total_ratio_fraction_to_bulk_resp,dfs_tau_ratio_fraction_to_bulk_resp,dfs_tau_difference_fraction_minus_bulk_resp,ur_tau_difference_fraction_minus_bulk_resp,equivalent_tau_dfs_within_10pct
Appi forest,cool-temperate forest,2.8601645827304893,2.9885279238237077,2.639887303114888,2.003896862268448,2.075300872325897,1.8490374386310577,0.45121312337780356,0.4649433556616551,0.3917924270451292,0.9229844041333765,0.9227208612612495,-0.15485942363739014,-0.05942069633267438,True
EML,tundra/permafrost,3.0503509044648163,3.7164369523525584,2.2392451614142677,2.3149377703666687,2.560261368751526,1.7083165347576141,0.5946859968794805,0.7087828871680776,0.44942173595554663,0.7340942834270875,0.7379535452855952,-0.6066212356090546,-0.1452642609239339,False
Harvard Forest,temperate deciduous forest,2.8864977359781117,2.9965193271647967,2.824080139399579,2.10727921128273,2.1743335127830505,2.036125063896179,0.5279824182791626,0.5459873037517545,0.487448638735601,0.9783760105540558,0.9662341150590869,-0.0711541473865509,-0.04053377954356158,True
Howland Forest,temperate evergreen forest,3.79965522885426,3.4068096280209668,2.8625831604015235,2.4875974655151367,2.3095808029174805,2.0642994344234467,0.6883843519515871,0.6113904364785975,0.539341795488109,0.7533797115757528,0.8298366046115775,-0.42329803109169006,-0.14904255646347808,False
Solling,temperate forest,2.922720611096543,3.0422452986255935,2.9851692318927023,2.099590390920639,2.1589023172855377,2.150173932313919,0.5413499575558912,0.5603145463627605,0.5387345853566665,1.0213666063595213,1.0240920998743472,0.05058354139328003,-0.002615372199224697,True
