site,site_id,param_index_subset,param_name,param_label_short,obs_index,obs_block_name,obs_family,obs_label_short,obs_label_full,y_obs,y_prior,y_opt,obs_sigma,obs_variance,gain_value,abs_gain_value,rank_within_param_by_abs_gain
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,23,resp_14C,resp_delta14C,resp[24],resp_14C[24],104.9538345336914,283.1192626953125,100.32575225830078,15.0,225.0,2.325581156167982e-05,2.325581156167982e-05,35
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,24,resp_14C,resp_delta14C,resp[25],resp_14C[25],91.1726303100586,273.7500915527344,99.00109100341797,15.0,225.0,2.4582936623574665e-05,2.4582936623574665e-05,34
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,25,resp_14C,resp_delta14C,resp[26],resp_14C[26],102.58723449707031,264.3684997558594,97.6373062133789,15.0,225.0,2.5914211138376886e-05,2.5914211138376886e-05,32
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,26,resp_14C,resp_delta14C,resp[27],resp_14C[27],105.08200073242188,254.3699188232422,95.97330474853516,15.0,225.0,2.8060865603253452e-05,2.8060865603253452e-05,30
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,27,resp_14C,resp_delta14C,resp[28],resp_14C[28],117.83086395263672,254.2222137451172,95.93190002441406,15.0,225.0,2.8167341510746904e-05,2.8167341510746904e-05,29
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,28,resp_14C,resp_delta14C,resp[29],resp_14C[29],86.36949920654297,217.25071716308594,81.06224060058594,15.0,225.0,5.5226362805925245e-05,5.5226362805925245e-05,19
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,29,resp_14C,resp_delta14C,resp[30],resp_14C[30],68.09839630126953,203.5430450439453,65.74876403808594,15.0,225.0,6.748996514669473e-05,6.748996514669473e-05,11
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,30,resp_14C,resp_delta14C,resp[31],resp_14C[31],69.05946350097656,196.36236572265625,64.53846740722656,15.0,225.0,6.430454252977446e-05,6.430454252977446e-05,14
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,31,resp_14C,resp_delta14C,resp[32],resp_14C[32],49.174835205078125,194.8347930908203,63.55397415161133,15.0,225.0,6.394786474779052e-05,6.394786474779052e-05,15
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,32,resp_14C,resp_delta14C,resp[33],resp_14C[33],70.2677993774414,197.75401306152344,62.33152389526367,15.0,225.0,6.58456433640671e-05,6.58456433640671e-05,12
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,33,resp_14C,resp_delta14C,resp[34],resp_14C[34],69.19176483154297,184.539794921875,59.58330535888672,15.0,225.0,5.97189746488335e-05,5.97189746488335e-05,17
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,34,resp_14C,resp_delta14C,resp[35],resp_14C[35],79.25586700439453,187.20851135253906,59.323665618896484,15.0,225.0,6.10405991916205e-05,6.10405991916205e-05,16
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,35,resp_14C,resp_delta14C,resp[36],resp_14C[36],81.99440002441406,196.52978515625,58.75614547729492,15.0,225.0,6.553785036070522e-05,6.553785036070522e-05,13
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,36,resp_14C,resp_delta14C,resp[37],resp_14C[37],70.0555648803711,174.48721313476562,55.94802474975586,15.0,225.0,5.495922387598606e-05,5.495922387598606e-05,20
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,37,resp_14C,resp_delta14C,resp[38],resp_14C[38],68.07653045654297,174.2688446044922,55.530399322509766,15.0,225.0,5.479677605017119e-05,5.479677605017119e-05,22
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,38,resp_14C,resp_delta14C,resp[39],resp_14C[39],70.96666717529297,175.1734161376953,54.021324157714844,15.0,225.0,5.4876922954174575e-05,5.4876922954174575e-05,21
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,39,resp_14C,resp_delta14C,resp[40],resp_14C[40],67.48580169677734,168.19500732421875,52.88175582885742,15.0,225.0,5.149142869818025e-05,5.149142869818025e-05,23
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,40,resp_14C,resp_delta14C,resp[41],resp_14C[41],61.942665100097656,169.115478515625,50.361637115478516,15.0,225.0,5.086757213861554e-05,5.086757213861554e-05,24
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,41,c_stock,C_stocks,C[1],c_stock[1],2035.449951171875,1091.6514892578125,1216.065185546875,624.3914537371568,389864.6875,3.753703564595483e-07,3.753703564595483e-07,48
