site,label,tower_id,biome,skipped,converged,n_iter,n_obs,n_cstock,n_pool_blocks,n_resp,mean_GPP_gCm2yr,SOC_gCm2,J0,J_final,dfs_total,dfs_tau,dfs_transfer,ur_mean,ur_tau_mean,ur_transfer_mean,ur_tau_active,ur_tau_slow,ur_tau_passive
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,False,True,3,6,3,3,0,1314.631576538086,12118.125122070312,1.7096750736236572,0.031117677688598633,2.9937539696704922,2.1556118726730347,0.8381420969974578,0.1769948716704234,0.5490364848122204,0.05298100062315768,0.9291750850374023,0.45247253103665275,0.2654618383626064
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,False,True,15,6,3,3,0,1629.8498463630676,10354.635620117188,61.33980178833008,1.6767135858535767,2.8968089222918025,2.0705409348011017,0.826267987490701,0.15642738578523616,0.46946168725056664,0.05208261863012601,0.6785386614055116,0.4634868254808203,0.266359574865368
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,False,True,3,6,3,3,0,1386.5197038650513,17555.58740234375,28.91808319091797,0.019275367259979248,2.9974372386942942,2.162403017282486,0.8350342214118085,0.18024126559642184,0.5627460726744117,0.05273966323709181,0.968165771919344,0.45368768484417454,0.26638476125971666
