network,tower_id,tower_name,tower_lat,tower_lon,nearest_layer_site,nearest_layer_km,nearest_layer_obs,nearest_fraction_site,nearest_fraction_km,nearest_fraction_obs,nearest_flux_site,nearest_flux_km,nearest_flux_obs,nearest_incubation_site,nearest_incubation_km,nearest_incubation_obs,nearest_interstitial_site,nearest_interstitial_km,nearest_interstitial_obs,nearest_eligible_path,nearest_eligible_site,nearest_eligible_km,nearest_fraction_path_site,nearest_fraction_path_km,nearest_pool_resp_path_site,nearest_pool_resp_path_km,eligible_within_1km,eligible_within_25km
AmeriFlux,CA-NS4,UCI-1964 burn site wet,55.9144,-98.3806,CZ_1964burn_NSA,0.1388326825891026,11,NSA_FenTower,2.5005434656502956,77,CZ_1964burn_NSA,0.1388326825891026,2,CZ_1964burn_NSA,0.1388326825891026,11,CZ_1964burn_NSA,0.1388326825891026,3,pool+respiration,CZ_1964burn_NSA,0.1388326825891026,NSA_FenTower,2.5005434656502956,CZ_1964burn_NSA,0.1388326825891026,True,True
AmeriFlux,US-Ha2,Harvard Forest Hemlock Site,42.5393,-72.1779,Harvard Forest,0.18883956553033654,8,Harvard Forest,0.18883956553033654,88,Harvard Forest,0.18883956553033654,156,Harvard Forest,0.18883956553033654,15,Harvard Forest,0.18883956553033654,192,fraction|pool+respiration,Harvard Forest,0.18883956553033654,Harvard Forest,0.18883956553033654,Harvard Forest,0.18883956553033654,True,True
AmeriFlux,CA-NS1,UCI-1850 burn site,55.8792,-98.4839,TH_Old_Black_Spruce,0.21430331113419196,26,TH_Old_Black_Spruce,0.21430331113419196,16,CZ_Old_Black_Spruce,0.24470834801894462,1,CZ_Old_Black_Spruce,0.24470834801894462,15,TH_Old_Black_Spruce,0.21430331113419196,7,fraction,TH_Old_Black_Spruce,0.21430331113419196,TH_Old_Black_Spruce,0.21430331113419196,CZ_Old_Black_Spruce,0.24470834801894462,True,True
AmeriFlux,US-Blo,Blodgett Forest,38.8953,-120.6328,Blodgett,0.22429602706613308,6,Blodgett,0.22429602706613308,18,Chiquito,223.41845166644498,11,Blodgett Forest,2.809156831502402,8,Sedgwick Reserve,469.36999188695177,29,fraction,Blodgett,0.22429602706613308,Blodgett,0.22429602706613308,Blodgett Forest,2.809156831502402,True,True
AmeriFlux,CA-NS3,UCI-1964 burn site,55.9117,-98.3822,CZ_1964burn_NSA,0.25541695023019567,11,NSA_FenTower,2.425147343372656,77,CZ_1964burn_NSA,0.25541695023019567,2,CZ_1964burn_NSA,0.25541695023019567,11,CZ_1964burn_NSA,0.25541695023019567,3,pool+respiration,CZ_1964burn_NSA,0.25541695023019567,NSA_FenTower,2.425147343372656,CZ_1964burn_NSA,0.25541695023019567,True,True
AmeriFlux,CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),55.8796,-98.4808,TH_Old_Black_Spruce,0.3276572160049276,26,TH_Old_Black_Spruce,0.3276572160049276,16,CZ_Old_Black_Spruce,0.35131611019367476,1,CZ_Old_Black_Spruce,0.35131611019367476,15,TH_Old_Black_Spruce,0.3276572160049276,7,fraction,TH_Old_Black_Spruce,0.3276572160049276,TH_Old_Black_Spruce,0.3276572160049276,CZ_Old_Black_Spruce,0.35131611019367476,True,True
AmeriFlux,PA-Bar,Barro Colorado Island,9.1568,-79.8486,BCI,0.38759601909683,3,Susua State Forest,1712.0163209335344,8,ZF2,2545.421645010485,5,BCI,0.38759601909683,3,FLONA,3071.389957102243,33,pool+respiration,BCI,0.38759601909683,Susua State Forest,1712.0163209335344,BCI,0.38759601909683,True,True
AmeriFlux,PA-Bas,Barro Colorado Island,9.1565,-79.8482,BCI,0.43647263301946193,3,Susua State Forest,1712.0010859742604,8,ZF2,2545.3669569575836,5,BCI,0.43647263301946193,3,FLONA,3071.336056824406,33,pool+respiration,BCI,0.43647263301946193,Susua State Forest,1712.0010859742604,BCI,0.43647263301946193,True,True
AmeriFlux,US-LPH,Little Prospect Hill,42.5419,-72.185,Harvard Forest,0.4609112984575359,8,Harvard Forest,0.4609112984575359,88,Harvard Forest,0.4609112984575359,156,Harvard Forest,0.4609112984575359,15,Harvard Forest,0.4609112984575359,192,fraction|pool+respiration,Harvard Forest,0.4609112984575359,Harvard Forest,0.4609112984575359,Harvard Forest,0.4609112984575359,True,True
NEON,SOAP,Soaproot Saddle NEON,37.03337,-119.26219,SOAP,0.0,9,Trumbore Musick,0.9400053648049138,51,Musick,0.9400053648049138,16,Trumbore Musick,0.9400053648049138,6,Sedgwick Reserve,268.99195506036955,29,fraction|pool+respiration,Trumbore Musick,0.9400053648049138,Trumbore Musick,0.9400053648049138,Trumbore Musick,0.9400053648049138,True,True
AmeriFlux,US-xSP,NEON Soaproot Saddle (SOAP),37.0334,-119.2622,SOAP,0.0034519279814641747,9,Trumbore Musick,0.9411137810067647,51,Musick,0.9411137810067647,16,Trumbore Musick,0.9411137810067647,6,Sedgwick Reserve,268.9949313350506,29,fraction|pool+respiration,Trumbore Musick,0.9411137810067647,Trumbore Musick,0.9411137810067647,Trumbore Musick,0.9411137810067647,True,True
AmeriFlux,US-MtB,Mt Bigelow,32.416,-110.7256,Mt. Lemmon Granite,0.963569224400625,3,Mt. Lemmon Granite,0.963569224400625,9,Sedgwick Reserve,900.1600594300633,9,Joshua_Tree,550.8141498917157,21,Sedgwick Reserve,900.1600594300633,29,fraction,Mt. Lemmon Granite,0.963569224400625,Mt. Lemmon Granite,0.963569224400625,Joshua_Tree,550.8141498917157,True,True
