site_name,lat,lon,layer_obs,layer_entries,layer_entry_names,fraction_obs,fraction_entries,fraction_entry_names,flux_obs,flux_entries,flux_entry_names,incubation_obs,incubation_entries,incubation_entry_names,interstitial_obs,interstitial_entries,interstitial_entry_names,has_layer,has_fraction,has_respiration,has_interstitial,eligible_fraction,eligible_pool_resp,eligible,eligibility_path
SO3P1,-12.6923833333333,-52.3654666666666,10,1,Nagy_2017,0,0,,0,0,,3,1,Nagy_2017,0,0,,True,False,True,False,False,True,True,pool+respiration
SO3P6,-12.73805,-52.3925666666666,1,1,Nagy_2017,0,0,,0,0,,1,1,Nagy_2017,0,0,,True,False,True,False,False,True,True,pool+respiration
SO7P2,-13.0689166666666,-52.38695,5,1,Nagy_2017,0,0,,0,0,,3,1,Nagy_2017,0,0,,True,False,True,False,False,True,True,pool+respiration
SO8P3,-12.9777333333333,-52.3456833333333,10,1,Nagy_2017,0,0,,0,0,,2,1,Nagy_2017,0,0,,True,False,True,False,False,True,True,pool+respiration
SO8P5,-12.9977666666666,-52.3490333333333,5,1,Nagy_2017,0,0,,0,0,,2,1,Nagy_2017,0,0,,True,False,True,False,False,True,True,pool+respiration
Saint-Cergue,46.4485532471578,6.11111859438691,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
San Dimas Experimental Forest,34.2,-117.75,2,1,Quideau_2001,8,1,Quideau_2001,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Santa Gracia,-29.7594236666667,-71.1602996666667,34,1,Scheibe_2022,0,0,,0,0,,36,1,Scheibe_2022,0,0,,True,False,True,False,False,True,True,pool+respiration
Saubraz,46.5227583554496,6.3178370263857,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Schänis,47.1644120123761,9.06609898870338,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Sedgwick Reserve,34.7,-120.05,13,1,Fierer_2005,8,1,Fierer_2005,9,1,Fierer_2005,0,0,,29,1,Fierer_2005,True,True,True,True,True,True,True,fraction|pool+respiration
Sedgwick_weatherstation,34.7116667,-120.038833333333,3,1,Foley_2023,0,0,,0,0,,3,1,Foley_2023,0,0,,True,False,True,False,False,True,True,pool+respiration
Sent,46.8163667110869,10.3692036602978,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Sierra de Cayey,18.016667,-66.083333,0,0,,18,1,Marin-Spiotta_2008,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Site_1,50.761528,4.735378,3,1,Doetterl_2012,9,1,Doetterl_2012,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Siviriez,46.6286307919012,6.89216957021569,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Solling,51.516667,9.566667,18,1,Lemke_2006,33,1,Lemke_2006,6,1,Lemke_2006,2,1,Lemke_2006,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Sorø,55.48333,11.63333,0,0,,9,1,Schrumpf_2013,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Soubey,47.3191837232659,7.04182031913108,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
South Mountain,76.5102778,-68.6705555555555,3,1,Czimczik_2010,0,0,,0,0,,9,1,Czimczik_2010,0,0,,True,False,True,False,False,True,True,pool+respiration
Southern Piedmont,32.4,-84.87,20,1,Butnor_2017,20,1,Butnor_2017,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
St. Gallen_a,47.4043686961747,9.39754095817132,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
St. Gallen_b,47.4283104271685,9.35400800153776,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
St. Stephan,46.5036483214704,7.42352881753707,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Steinhausen,47.2087416832883,8.48702732069661,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Susua State Forest,18.072,-66.916,1,1,Sollins_2009,8,1,Sollins_2009,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
TH_1964Gillam,55.9055,-97.7087,43,1,Trumbore_Harden_1997,31,1,Trumbore_Harden_1997,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
TH_Old_Black_Spruce,55.877274,-98.484025,26,1,Trumbore_Harden_1997,16,1,Trumbore_Harden_1997,0,0,,0,0,,7,1,Trumbore_Harden_1997,True,True,False,True,True,False,True,fraction
Takayama Forest Research Station,36.11277778,137.42305556,2,1,Kondo_2010,10,1,Kondo_2010,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Tama_County_Iowa,42.15,-92.31,2,1,Trumbore_1990,12,1,Trumbore_1990,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Tamins,46.8449134457592,9.41225562287149,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Tarasp,46.7711873272217,10.2324607603807,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Taupo,-38.7,176.1,4,1,Goh_1977,12,1,Goh_1977,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Tennessee Valley,37.848,-122.5318,0,0,,88,1,Berhe_2012,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Treynor,41.16574593,-95.64329535,46,1,Harden_2002,0,0,,9,1,Harden_2002,9,1,Harden_2002,0,0,,True,False,True,False,False,True,True,pool+respiration
Troistorrents,46.238858909996,6.84228910627744,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Trumbore Ahwahnee,37.016153,-119.327733,10,2,Trumbore_1996|Trumbore_unpublished,12,2,Trumbore_1996|Trumbore_unpublished,0,0,,5,1,Trumbore_unpublished,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Trumbore Chiquito,37.261593,-119.146739,11,2,Trumbore_1996|Trumbore_unpublished,33,3,Koarashi_2012|Trumbore_1996|Trumbore_unpublished,0,0,,6,1,Trumbore_unpublished,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Trumbore Corbett,37.086598,-119.212314,0,0,,26,1,Trumbore_1996,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Trumbore Falbrook,36.725967,-119.2954,14,2,Trumbore_1996|Trumbore_unpublished,31,3,Koarashi_2012|Trumbore_1996|Trumbore_unpublished,0,0,,5,1,Trumbore_unpublished,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Trumbore Musick,37.0287,-119.271017,3,1,Trumbore_unpublished,51,3,Koarashi_2012|Trumbore_1996|Trumbore_unpublished,0,0,,6,1,Trumbore_unpublished,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Trumbore Shaver,37.03182,-119.188,12,2,Trumbore_1996|Trumbore_unpublished,53,3,Koarashi_2012|Trumbore_1996|Trumbore_unpublished,0,0,,6,1,Trumbore_unpublished,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Turlock Lake,37.62577,-120.59085,6,1,Baisden_2002,19,1,Baisden_2002,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
UG_felsic_Cropland,0.5216,30.16291,13,1,Doetterl_2021,0,0,,0,0,,13,1,Doetterl_2021,0,0,,True,False,True,False,False,True,True,pool+respiration
UG_felsic_Forest,0.45994,30.37355,12,1,Doetterl_2021,0,0,,0,0,,10,1,Doetterl_2021,0,0,,True,False,True,False,False,True,True,pool+respiration
Val-de-Travers,46.9571736411248,6.62408630913996,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Vordemwald,47.2742919772411,7.88868976266124,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
W14C,51.6,7.4,0,0,,4,1,Tegen_1996,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Western Coastal Plain,30.944,-93.162,20,1,Butnor_2017,20,1,Butnor_2017,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Wettingen,47.4775998595358,8.36661793864162,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Wetzstein,50.45,11.45,0,0,,9,1,Schrumpf_2013,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Willow Creek,45.8059,-90.0799,23,1,phillips_2013,0,0,,0,0,,26,1,phillips_2013,0,0,,True,False,True,False,False,True,True,pool+respiration
ZF2,-2.55,-60.1091,16,1,Telles_2003,0,0,,5,1,Trumbore_2006,0,0,,0,0,,True,False,True,False,False,True,True,pool+respiration
Zeiningen,47.5348515940413,7.8901632038916,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Zelenyi Mys,68.8,161.383333,2,1,Dutta_2006,8,1,Dutta_2006,0,0,,3,1,Dutta_2006,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Zernez,46.6623540039575,10.2291502149723,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
forest Nagoya,35.15,136.97,11,1,Koarashi_2005,16,1,Koarashi_2005,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
