site_name,lat,lon,layer_obs,layer_entries,layer_entry_names,fraction_obs,fraction_entries,fraction_entry_names,flux_obs,flux_entries,flux_entry_names,incubation_obs,incubation_entries,incubation_entry_names,interstitial_obs,interstitial_entries,interstitial_entry_names,has_layer,has_fraction,has_respiration,has_interstitial,eligible_fraction,eligible_pool_resp,eligible,eligibility_path
Eschenbach (LU),47.1267621314869,8.31309093457047,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
FLONA,-3.017,-54.9707,44,2,Telles_2003|Trumbore_2006,0,0,,22,1,Trumbore_2006,44,1,Trumbore_2006,33,1,Perez_2006,True,False,True,True,False,True,True,pool+respiration
FP1,-12.8767833333333,-52.3648,10,1,Nagy_2017,0,0,,0,0,,2,1,Nagy_2017,0,0,,True,False,True,False,False,True,True,pool+respiration
FP3,-13.0856,-52.3945833333333,10,1,Nagy_2017,0,0,,0,0,,3,1,Nagy_2017,0,0,,True,False,True,False,False,True,True,pool+respiration
FP4,-12.85495,-52.3671,10,1,Nagy_2017,0,0,,0,0,,3,1,Nagy_2017,0,0,,True,False,True,False,False,True,True,pool+respiration
FP7,-12.8342833333333,-52.3346333333333,10,1,Nagy_2017,0,0,,0,0,,2,1,Nagy_2017,0,0,,True,False,True,False,False,True,True,pool+respiration
Faido,46.4469235568531,8.81106999757823,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Fallbrook,36.7166667,-119.283333333333,4,1,Ewing_2006,0,0,,2,1,Ewing_2006,8,1,Ewing_2006,0,0,,True,False,True,False,False,True,True,pool+respiration
Fazenda Victoria,-2.98333333,-47.51666667,8,2,Camargo_1999|Telles_2011,84,3,Camargo_1999|Telles_2011|Trumbore_1995,0,0,,0,0,,51,1,Trumbore_1995,True,True,False,True,True,False,True,fraction
Fichtelgeberge,50.133,11.867,21,1,Schulze_2009,45,1,Schulze_2009,6,1,Muhr_2009,9,1,Muhr_2009,20,1,Schulze_2011,True,True,True,True,True,True,True,fraction|pool+respiration
