network,tower_id,tower_name,tower_lat,tower_lon,nearest_layer_site,nearest_layer_km,nearest_layer_obs,nearest_fraction_site,nearest_fraction_km,nearest_fraction_obs,nearest_flux_site,nearest_flux_km,nearest_flux_obs,nearest_incubation_site,nearest_incubation_km,nearest_incubation_obs,nearest_interstitial_site,nearest_interstitial_km,nearest_interstitial_obs,nearest_eligible_path,nearest_eligible_site,nearest_eligible_km,nearest_fraction_path_site,nearest_fraction_path_km,nearest_pool_resp_path_site,nearest_pool_resp_path_km,eligible_within_1km,eligible_within_25km
AmeriFlux,US-KM1,KBS Marshall Farms Corn,42.4376,-85.3287,Kellogg Biological Station,6.826365317876326,1,Kellogg Biological Station,6.826365317876326,7,Dinesen,824.8362357712606,7,ARL,343.6503844411532,24,HarvardForest,1076.8982647944738,113,fraction,Kellogg Biological Station,6.826365317876326,Kellogg Biological Station,6.826365317876326,ARL,343.6503844411532,False,True
AmeriFlux,US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),42.4423,-85.3301,Kellogg Biological Station,7.015033452923847,1,Kellogg Biological Station,7.015033452923847,7,Dinesen,824.7423560621891,7,ARL,343.3840390671764,24,HarvardForest,1076.967166291861,113,fraction,Kellogg Biological Station,7.015033452923847,Kellogg Biological Station,7.015033452923847,ARL,343.3840390671764,False,True
AmeriFlux,US-Ho1,Howland Forest (main tower),45.2041,-68.7402,Howland Forest,7.066065435025488,38,Howland Forest,7.066065435025488,148,Howland Forest,7.066065435025488,182,Howland_Ameriflux,0.0,5,Howland Forest,7.066065435025488,60,fraction|pool+respiration,Howland Forest,7.066065435025488,Howland Forest,7.066065435025488,Howland Forest,7.066065435025488,False,True
AmeriFlux,US-Ho2,Howland Forest (west tower),45.2091,-68.747,Howland Forest,7.824365888486551,38,Howland Forest,7.824365888486551,148,Howland Forest,7.824365888486551,182,Howland_Ameriflux,0.770005934403156,5,Howland Forest,7.824365888486551,60,fraction|pool+respiration,Howland Forest,7.824365888486551,Howland Forest,7.824365888486551,Howland Forest,7.824365888486551,False,True
AmeriFlux,US-Fuf,Flagstaff - Unmanaged Forest,35.089,-111.762,Flagstaff Basalt,8.066104913923999,4,Flagstaff Basalt,8.066104913923999,12,Fallbrook,700.9829466672073,2,Joshua_Tree,447.1076914530513,21,Sedgwick Reserve,756.9065097441043,29,fraction,Flagstaff Basalt,8.066104913923999,Flagstaff Basalt,8.066104913923999,Joshua_Tree,447.1076914530513,False,True
AmeriFlux,US-KL3,KBS Lux Arbor Reserve Prairie,42.4735,-85.4473,Kellogg Biological Station,8.449888447262785,1,Kellogg Biological Station,8.449888447262785,7,Dinesen,815.287191821579,7,ARL,333.1723318062899,24,HarvardForest,1086.2494065870724,113,fraction,Kellogg Biological Station,8.449888447262785,Kellogg Biological Station,8.449888447262785,ARL,333.1723318062899,False,True
AmeriFlux,US-KM2,KBS Marshall Farms Prairie,42.4441,-85.3098,Kellogg Biological Station,8.530021883500115,1,Kellogg Biological Station,8.530021883500115,7,Dinesen,826.4148044996028,7,ARL,344.9141297110569,24,HarvardForest,1075.2903463233997,113,fraction,Kellogg Biological Station,8.530021883500115,Kellogg Biological Station,8.530021883500115,ARL,344.9141297110569,False,True
AmeriFlux,US-KM3,KBS Marshall Farms Switchgrass,42.4464,-85.3105,Kellogg Biological Station,8.610703365413459,1,Kellogg Biological Station,8.610703365413459,7,Dinesen,826.3677517139702,7,ARL,344.7832589041526,24,HarvardForest,1075.325443240118,113,fraction,Kellogg Biological Station,8.610703365413459,Kellogg Biological Station,8.610703365413459,ARL,344.7832589041526,False,True
AmeriFlux,US-KL2,KBS Lux Arbor Reserve Switchgrass,42.4768,-85.4468,Kellogg Biological Station,8.759335303778425,1,Kellogg Biological Station,8.759335303778425,7,Dinesen,815.3452700072133,7,ARL,333.1028143599672,24,HarvardForest,1086.1776419413416,113,fraction,Kellogg Biological Station,8.759335303778425,Kellogg Biological Station,8.759335303778425,ARL,333.1028143599672,False,True
AmeriFlux,US-KL1,KBS Lux Arbor Reserve Corn,42.4847,-85.4422,Kellogg Biological Station,9.411195081837052,1,Kellogg Biological Station,9.411195081837052,7,Dinesen,815.7636805526339,7,ARL,333.20477818821774,24,HarvardForest,1085.7282597450658,113,fraction,Kellogg Biological Station,9.411195081837052,Kellogg Biological Station,9.411195081837052,ARL,333.20477818821774,False,True
AmeriFlux,CA-NS8,UCI-2003 burn site,55.8981,-98.2161,TH_Young_Jack_Pine,4.431722363790572,17,NSA_FenTower,12.888404305156207,77,CZ_1964burn_NSA,10.53319594520108,2,CZ_1964burn_NSA,10.53319594520108,11,TH_Young_Jack_Pine,4.431722363790572,8,pool+respiration,CZ_1964burn_NSA,10.53319594520108,NSA_FenTower,12.888404305156207,CZ_1964burn_NSA,10.53319594520108,False,True
AmeriFlux,PR-xGU,NEON Guanica Forest (GUAN),17.9696,-66.8687,Susua State Forest,12.436410373955047,1,Susua State Forest,12.436410373955047,8,ZF2,2398.862676286524,5,Luquillo,118.75648986522087,53,FLONA,2673.197738152404,33,fraction,Susua State Forest,12.436410373955047,Susua State Forest,12.436410373955047,RITA,1682.7561857233259,False,True
