site,dfs_total,dfs_tau,dfs_transfer,ur_tau_mean,ur_tau_active,ur_tau_slow,ur_tau_passive,J_final,status
Howland Forest,3.7993680536757317,2.48743212223053,1.3119359314452022,0.688288741199473,0.9795014027455412,0.759351707012957,0.32601311383992104,45.66245651245117,ok
FLONA,2.935046821834208,2.110143691301346,0.824903130532862,0.5444688792340392,0.951140606878209,0.4392596588643495,0.2430063719595591,9.273548126220703,ok
ZF2,2.9374552071105597,2.122184693813324,0.8152705132972353,0.5438512885495852,0.9391904767185225,0.4440559596445892,0.2483074292856441,0.08310706168413162,ok
CZ_Old_Black_Spruce,2.8550291620197834,2.3557903170585632,0.4992388449612204,0.6078110934133332,0.9552296909690741,0.4048863810742326,0.463317208196693,13.594751358032227,ok
CZ_1964burn_NSA,3.035318583255342,2.1186763644218445,0.9166422188334973,0.5441953345981084,0.9472939735244877,0.4272999768509095,0.25799205341892784,6.531216621398926,ok
Auchencorth Moss,2.5001137256630486,1.6499160826206207,0.8501976430424278,0.3382645675831264,0.2476377733069186,0.49321225198796437,0.2739436774544961,26.48368263244629,ok
Solling,2.682447746396915,1.97044175863266,0.7120059877642554,0.5120189152043775,0.9431830286261954,0.4312091118974355,0.16166460508950165,0.9882105588912964,ok
Appi forest,2.6210367828616143,1.856513351202011,0.7645234316596031,0.4018049717986563,0.5376380043755069,0.4793252836795532,0.18845162734090892,5.138983726501465,ok
Baram Basin,2.468307107688009,1.6644286215305328,0.8038784861574764,0.3363177917505389,0.2997135876021052,0.432552032797496,0.27668775485201547,0.3565996587276459,ok
Adventdalen Valley,,,,,,,,,pending_annual_mean_spinup
