site,site_id,param_index,param_name,param_group,dfs_per_param,ak_diag,prior_sigma,posterior_sigma,uncertainty_reduction_fraction,uncertainty_reduction_percent,strongest_cross_parameter,strongest_cross_kernel_value
Barrow,US-A10,10,log_f_transfer[soil_slow→resp],transfer_fractions,1.462645103189952e-09,1.462645103189952e-09,0.019999999552965164,0.019999999538338316,7.313424310595451e-10,7.313424310595451e-08,log_tau[soil_slow],1.798756979249877e-08
Barrow,US-A10,11,log_f_transfer[soil_passive→soil_active],transfer_fractions,1.3072746051701776e-20,1.3072746051701776e-20,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],3.050951418825226e-12
Barrow,US-A10,12,log_f_transfer[soil_passive→soil_slow],transfer_fractions,4.048467798876978e-22,4.048467798876978e-22,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],5.736463591843635e-13
Barrow,US-A10,13,log_f_transfer[soil_passive→soil_passive],transfer_fractions,5.450498527595962e-22,5.450498527595962e-22,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],1.02491883418226e-14
Barrow,US-A10,14,log_f_transfer[soil_passive→resp],transfer_fractions,1.8429937610122225e-20,1.8429937610122225e-20,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-3.634846836636998e-12
Eight-mile Lake,US-EML,0,log_tau[soil_active],turnover_times,0.05567514690301376,0.05567514690301376,0.49954336881637573,0.48543815465625495,0.028236215393153685,2.8236215393153685,log_tau[soil_slow],-0.07996924018299138
Eight-mile Lake,US-EML,1,log_tau[soil_slow],turnover_times,0.118113568846943,0.118113568846943,0.5,0.46954404243132764,0.06091191513734473,6.091191513734473,log_tau[soil_active],-0.08011550631670197
Eight-mile Lake,US-EML,2,log_tau[soil_passive],turnover_times,0.014925139230465003,0.014925139230465003,0.5,0.49625468782292326,0.007490624354153486,0.7490624354153486,log_tau[soil_slow],-0.041946368554613755
Eight-mile Lake,US-EML,3,log_f_transfer[soil_active→soil_active],transfer_fractions,2.5810623686513258e-18,2.5810623686513258e-18,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_active],2.8093366100458435e-12
Eight-mile Lake,US-EML,4,log_f_transfer[soil_active→soil_slow],transfer_fractions,0.00014745737625261826,0.00014745737625261826,0.5,0.4999631342906072,7.37314187856386e-05,0.00737314187856386,log_f_transfer[soil_active→resp],-0.00014745703435598814
Eight-mile Lake,US-EML,5,log_f_transfer[soil_active→soil_passive],transfer_fractions,2.5823858642540377e-18,2.5823858642540377e-18,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_f_transfer[soil_active→soil_slow],-2.946533264557902e-13
Eight-mile Lake,US-EML,6,log_f_transfer[soil_active→resp],transfer_fractions,2.3593069739964797e-07,2.3593069739964797e-07,0.019999999552965164,0.019999997193657703,1.1796537568997678e-07,1.1796537568997678e-05,log_f_transfer[soil_active→soil_slow],-2.3593124442852107e-07
Eight-mile Lake,US-EML,7,log_f_transfer[soil_slow→soil_active],transfer_fractions,4.0639988181687225e-19,4.0639988181687225e-19,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-7.711955461824551e-12
Eight-mile Lake,US-EML,8,log_f_transfer[soil_slow→soil_slow],transfer_fractions,5.4481158688082e-19,5.4481158688082e-19,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-5.639187862506961e-12
Eight-mile Lake,US-EML,9,log_f_transfer[soil_slow→soil_passive],transfer_fractions,1.7034668939261694e-07,1.7034668939261694e-07,0.5,0.49999995740707576,8.518584848626887e-08,8.518584848626887e-06,log_tau[soil_slow],-6.283398759232151e-06
Eight-mile Lake,US-EML,10,log_f_transfer[soil_slow→resp],transfer_fractions,2.725549520119308e-10,2.725549520119308e-10,0.019999999552965164,0.019999999550239213,1.362975288188295e-10,1.362975288188295e-08,log_tau[soil_slow],1.0066788127768253e-08
Eight-mile Lake,US-EML,11,log_f_transfer[soil_passive→soil_active],transfer_fractions,1.5679123005133342e-20,1.5679123005133342e-20,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],1.7034148175482238e-12
Eight-mile Lake,US-EML,12,log_f_transfer[soil_passive→soil_slow],transfer_fractions,1.0145707466788362e-20,1.0145707466788362e-20,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],1.3222811691083552e-12
Eight-mile Lake,US-EML,13,log_f_transfer[soil_passive→soil_passive],transfer_fractions,3.0398252812934697e-22,3.0398252812934697e-22,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],3.8874112766909974e-14
Eight-mile Lake,US-EML,14,log_f_transfer[soil_passive→resp],transfer_fractions,5.089886040739695e-20,5.089886040739695e-20,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-3.0645707558476182e-12
Howland Forest,US-Ho1,0,log_tau[soil_active],turnover_times,0.32041169988501156,0.32041169988501156,0.5,0.41218572879771037,0.17562854240457926,17.562854240457927,log_f_transfer[soil_active→soil_slow],-0.08710016349777479
Howland Forest,US-Ho1,1,log_tau[soil_slow],turnover_times,0.13539731167794863,0.13539731167794863,0.5,0.464920070630543,0.07015985873891395,7.015985873891395,log_f_transfer[soil_active→resp],-0.0232192395356423
Howland Forest,US-Ho1,2,log_tau[soil_passive],turnover_times,0.005125765439119979,0.005125765439119979,0.5,0.4987169123200075,0.0025661753599850456,0.25661753599850456,log_tau[soil_slow],0.012557228796599157
Howland Forest,US-Ho1,3,log_f_transfer[soil_active→soil_active],transfer_fractions,1.0860366478105696e-15,1.0860366478105696e-15,0.019999999552965164,0.019999999552964755,2.042810365310288e-14,2.042810365310288e-12,log_tau[soil_active],6.476660973497223e-10
Howland Forest,US-Ho1,4,log_f_transfer[soil_active→soil_slow],transfer_fractions,0.19218640234973722,0.19218640234973722,0.5,0.4493922556158671,0.1012154887682658,10.12154887682658,log_f_transfer[soil_active→resp],-0.19218601662514287
Howland Forest,US-Ho1,5,log_f_transfer[soil_active→soil_passive],transfer_fractions,1.6478027759250366e-14,1.6478027759250366e-14,0.019999999552965164,0.0199999995529646,2.8310687127941492e-14,2.831068712794149e-12,log_f_transfer[soil_active→soil_slow],-3.699807416550249e-10
Howland Forest,US-Ho1,6,log_f_transfer[soil_active→resp],transfer_fractions,0.00030749699572102043,0.00030749699572102043,0.019999999552965164,0.019996924346653934,0.00015376031899827503,0.015376031899827503,log_f_transfer[soil_active→soil_slow],-0.00030749761286168886
Howland Forest,US-Ho1,7,log_f_transfer[soil_slow→soil_active],transfer_fractions,1.1021194766252895e-16,1.1021194766252895e-16,0.019999999552965164,0.01999999955296476,2.0095036745715333e-14,2.0095036745715333e-12,log_tau[soil_active],-6.48003252661711e-11
Howland Forest,US-Ho1,8,log_f_transfer[soil_slow→soil_slow],transfer_fractions,1.523942312221235e-16,1.523942312221235e-16,0.019999999552965164,0.01999999955296476,2.0095036745715333e-14,2.0095036745715333e-12,log_tau[soil_slow],1.2068023186397764e-10
Howland Forest,US-Ho1,9,log_f_transfer[soil_slow→soil_passive],transfer_fractions,0.0004867727733103363,0.0004867727733103363,0.5,0.4998782919875852,0.00024341602482957914,0.024341602482957914,log_tau[soil_slow],-0.0005565445913943154
Howland Forest,US-Ho1,10,log_f_transfer[soil_slow→resp],transfer_fractions,7.788333374129347e-07,7.788333374129347e-07,0.019999999552965164,0.01999999176463005,3.894167645013269e-07,3.894167645013269e-05,log_tau[soil_slow],8.903841540957581e-07
Howland Forest,US-Ho1,11,log_f_transfer[soil_passive→soil_active],transfer_fractions,5.754925246249546e-18,5.754925246249546e-18,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_active],-1.734909977147275e-11
Howland Forest,US-Ho1,12,log_f_transfer[soil_passive→soil_slow],transfer_fractions,7.390368748293544e-18,7.390368748293544e-18,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],2.3103200366536304e-11
Howland Forest,US-Ho1,13,log_f_transfer[soil_passive→soil_passive],transfer_fractions,9.38483581194386e-19,9.38483581194386e-19,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-1.033483971513512e-12
Howland Forest,US-Ho1,14,log_f_transfer[soil_passive→resp],transfer_fractions,1.7497168376326076e-17,1.7497168376326076e-17,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_f_transfer[soil_active→soil_slow],1.798576985740558e-11
