config,site_id,label,n_pools,n_state,n_obs_total,dfs_total,dfs_total_families,dfs_per_tau_sum,dfs_per_f_sum,runtime_s,shapley_C_stocks,shapley_share_C_stocks,shapley_bulk_14C,shapley_share_bulk_14C,shapley_fraction_14C,shapley_share_fraction_14C,shapley_resp_14C,shapley_share_resp_14C,shapley_ER_annual,shapley_share_ER_annual,shapley_fraction_12C,shapley_share_fraction_12C
configs/howland_pool_sweep/howland_forest_1pool.yaml,Howland Forest,Howland Forest (US-Ho1) — 1-pool,1,2,47,0.9995920480848238,0.9995920480848238,0.9995920480847462,7.765470739947075e-14,29.852120707999347,0.024012365044192963,0.024022164932383808,0.297744854147576,0.2978663693033999,0.29850813927308906,0.2986299659396231,0.08147286106806963,0.08150611164241271,0.29785382855189635,0.2979753881821806,0.0,0.0
configs/howland_pool_sweep/howland_forest_2pool.yaml,Howland Forest,Howland Forest (US-Ho1) — 2-pool,2,6,48,2.332036353994836,2.332036353994836,1.6452569361539178,0.6867794178409181,50.655965791998824,0.8372407133312844,0.35901700755953925,0.023101190806646618,0.009906016588066351,0.5855836635579135,0.25110400296924795,0.14045227298792315,0.060227308526869625,0.7456585133110688,0.319745664356277,0.0,0.0
configs/howland_pool_sweep/howland_forest_3pool.yaml,Howland Forest,Howland Forest (US-Ho1) — 3-pool,3,12,60,3.3170824821436087,3.3170824821436087,2.1808841265634973,1.136198355580112,72.84968924999885,0.7413783682608388,0.22350314538507812,0.25343747600218536,0.07640373049704982,0.5995737193801632,0.18075333447623493,0.11952060288243861,0.036031845311606615,0.79082184797593,0.23840885845710857,0.8123504676420521,0.24489908587292175
configs/howland_pool_sweep/howland_forest_4pool.yaml,Howland Forest,Howland Forest (US-Ho1) — 4-pool,4,20,60,3.362162823827244,3.362162823827244,2.2185009905823283,1.1436618332449162,87.70209279200026,0.7485267319395683,0.2226325050752597,0.25472421006462537,0.07576200898404607,0.6067675929832271,0.18046942541959543,0.11814314308748125,0.035139030819749416,0.8143980741252614,0.2422244599082829,0.8196030716270801,0.24377256979306644
configs/howland_pool_sweep/howland_forest_7pool.yaml,Howland Forest,Howland Forest (US-Ho1) — 7-pool (Sierra-like),7,56,58,2.6452707664375184,2.6452707664375184,1.4057099146432033,1.239560851794315,89.16540045799957,0.14845065814326733,0.0561192676480492,0.3485277716202209,0.13175504603999227,0.5655651894641289,0.21380238145745512,0.30439745797714945,0.11507232523765139,0.7119032911407489,0.2691230327621602,0.5664263980920028,0.2141279468546918
