ecosystem,stored_observation_type,stored_mean,stored_ci95_low,stored_ci95_high,stored_n,observation_type,respired_mean,respired_ci95_low,respired_ci95_high,respired_n,delta14c_offset,offset_ci95_low,offset_ci95_high
Harvard Forest,fraction_specific_soil,-8.440547506014505,-51.23200329144796,31.60881753762563,6,respired_carbon,101.54815208621142,93.61188967634992,109.09011580769608,41,109.98869959222593,62.00307213872429,160.32211909914403
Barrow,bulk_soil,-305.3696975708008,-521.2000122070312,-116.10909271240234,3,respired_carbon,16.701666636126383,5.004785230330058,26.427622159038272,14,322.07136420692717,121.1138779427324,547.6276343660695
Howland Forest,bulk_soil,112.68685913085938,41.33236757005964,185.8859383719308,7,respired_carbon,119.91453066739169,114.40171370072798,126.41410997564142,11,7.227671536532313,-71.48422467120281,85.08174240558179
Eight-mile Lake,bulk_soil,-342.4532051086426,-579.0341796875,-57.28982162475586,3,respired_carbon,49.79011551539103,41.816539327303566,56.33152302106221,12,392.24332062403363,99.10636095205942,635.3657027085623
