site_id,site_label,subset_key,subset_label,metric,n_valid,median,p05,p95,variance
US-Ha1,Harvard Forest,prior_only,Prior,frac_loss,12,0.20234972171840368,0.18776433689567099,0.22642672842882217,0.00016723645056089114
US-Ha1,Harvard Forest,prior_only,Prior,abs_loss,12,1184.699562072754,692.6556259155274,1703.2440979003904,135330.07769675535
US-Ha1,Harvard Forest,prior_only,Prior,old_fraction,12,0.7805364867074809,0.586475666176868,0.9077699975735862,0.012978873535502273
US-Ha1,Harvard Forest,stocks_only,Stocks,frac_loss,12,0.19235365336026877,0.18510834845036836,0.197900248441321,2.2883786542978844e-05
US-Ha1,Harvard Forest,stocks_only,Stocks,abs_loss,12,1564.2496643066406,1474.9157409667969,1665.5505981445312,5338.844351954165
US-Ha1,Harvard Forest,stocks_only,Stocks,old_fraction,12,0.8646579526333293,0.8436924266344953,0.882356342502587,0.00023435861449397312
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,frac_loss,12,0.17575336397579455,0.1727461805820607,0.17773324169701354,4.7034166587657676e-06
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,abs_loss,12,1936.5245361328125,1926.0161193847657,1974.0493438720703,310.48846420871484
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,old_fraction,12,0.8886308180350407,0.8870527656678416,0.896800837100179,1.6001024929210617e-05
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,frac_loss,12,0.20021738514695497,0.19907564773434688,0.20674262691292047,7.32304578812143e-06
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,abs_loss,12,1527.3047485351562,1481.0718383789062,1553.6877746582031,1030.7991027561948
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,old_fraction,12,0.863667930027573,0.8619523431240275,0.8727414469073367,1.6797537366213683e-05
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",frac_loss,12,0.150589876364794,0.14511981864711507,0.15441076080876112,1.358081449676032e-05
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",abs_loss,12,1653.5370483398438,1561.4833984375,1709.726055908203,3065.4040669913998
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",old_fraction,12,0.8390291367850972,0.8280360056935776,0.8540509058030888,7.901055371385036e-05
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",frac_loss,12,0.15846679608679468,0.1508561322822706,0.1692799150634427,4.1710600954167165e-05
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",abs_loss,12,1491.5155029296875,1439.6055908203125,1532.0610229492188,1178.4701714717758
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",old_fraction,12,0.8539246138188619,0.8430667867339715,0.86465098601937,5.920435192826646e-05
US-Ha1,Harvard Forest,all_observations,All,frac_loss,12,0.13244811682525529,0.13116088588081876,0.135834231327723,3.6028987541850676e-06
US-Ha1,Harvard Forest,all_observations,All,abs_loss,12,1380.8646240234375,1363.0264282226562,1413.978237915039,391.1742782582614
US-Ha1,Harvard Forest,all_observations,All,old_fraction,12,0.829547784393857,0.8250525263484327,0.8385140405754717,2.5445562153643864e-05
US-A10,Barrow,prior_only,Prior,frac_loss,12,0.06110318524206666,0.03495914394800512,0.10429373199345242,0.0005139362264439649
US-A10,Barrow,prior_only,Prior,abs_loss,12,1410.7568359375,709.3028144836426,2166.7987274169923,255254.32538605065
US-A10,Barrow,prior_only,Prior,old_fraction,12,0.9039112632871409,0.8131335368636878,0.9605424243984156,0.002531774351583732
US-A10,Barrow,stocks_only,Stocks,frac_loss,12,0.05646204840103574,0.054127534406334755,0.06002960589186974,4.309169987569531e-06
US-A10,Barrow,stocks_only,Stocks,abs_loss,12,2169.938995361328,1960.0138732910157,2299.117329406738,18315.542861057635
US-A10,Barrow,stocks_only,Stocks,old_fraction,12,0.9318760732743421,0.9299102159047758,0.9404596648866387,1.8403647171208025e-05
US-A10,Barrow,soil14c_only,Pool 14C,frac_loss,12,0.05013685937037228,0.050121704079032194,0.05092822985957862,1.202330130187019e-07
US-A10,Barrow,soil14c_only,Pool 14C,abs_loss,12,1659.5548400878906,1654.1673583984375,1696.45166015625,267.0197094465239
US-A10,Barrow,soil14c_only,Pool 14C,old_fraction,12,0.7350845602016686,0.7316199169682733,0.7565330866045475,0.00011244763374941021
US-A10,Barrow,resp14c_only,Resp 14C,frac_loss,12,0.08037116160204245,0.0725177225020784,0.08888302274199043,4.0384514822905964e-05
US-A10,Barrow,resp14c_only,Resp 14C,abs_loss,12,1560.69287109375,1477.093081665039,1924.3582153320312,32640.41476913914
US-A10,Barrow,resp14c_only,Resp 14C,old_fraction,12,0.7898599194008473,0.7648663486528959,0.8668983496382697,0.0016203815329687724
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",frac_loss,12,0.0444622367651895,0.04385075612682752,0.04559061710814438,3.877550502346118e-07
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",abs_loss,12,1438.56298828125,1409.1927429199218,1476.9878356933593,554.6378598523636
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",old_fraction,12,0.6311382592154905,0.6051267662809519,0.6401732494776148,0.00020884747747792936
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",frac_loss,12,0.05853964968210944,0.055592319842761466,0.06182046219297434,5.250612781353559e-06
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",abs_loss,12,2170.922637939453,1957.8055084228515,2254.96032409668,14709.180658281839
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",old_fraction,12,0.8956139576145041,0.8699681741129568,0.9042092278832542,0.00019922656673536393
US-A10,Barrow,all_observations,All,frac_loss,12,0.042030748268911074,0.04106243595952603,0.04313247469460018,6.712396232817132e-07
US-A10,Barrow,all_observations,All,abs_loss,12,1270.1205444335938,1243.7465026855468,1284.2669067382812,217.04481886586908
US-A10,Barrow,all_observations,All,old_fraction,12,0.6840751478879925,0.6702034101676502,0.6968655533447631,0.00010178097070049747
US-Ho1,Howland Forest,prior_only,Prior,frac_loss,12,0.09170101435586686,0.06552131579536322,0.10586068896655107,0.00023664024642122399
US-Ho1,Howland Forest,prior_only,Prior,abs_loss,12,706.3230743408203,418.27781066894534,1204.2910278320312,75937.65316834614
US-Ho1,Howland Forest,prior_only,Prior,old_fraction,12,0.8963048634920828,0.8322169891805324,0.9459686361889512,0.0016675071385665143
US-Ho1,Howland Forest,stocks_only,Stocks,frac_loss,12,0.06650341665628529,0.06463602753669542,0.06868999678453129,2.776880500923346e-06
US-Ho1,Howland Forest,stocks_only,Stocks,abs_loss,12,450.47251892089844,399.35621185302733,587.2056579589844,5182.009829128641
US-Ho1,Howland Forest,stocks_only,Stocks,old_fraction,12,0.860885234923414,0.8458432914178765,0.9068076425543434,0.0005696300686993551
US-Ho1,Howland Forest,soil14c_only,Pool 14C,frac_loss,12,0.06904295404232058,0.06565507802555687,0.07052627183284109,3.3246545008373868e-06
US-Ho1,Howland Forest,soil14c_only,Pool 14C,abs_loss,12,882.87744140625,839.2693176269531,898.4455780029297,519.0103452587217
US-Ho1,Howland Forest,soil14c_only,Pool 14C,old_fraction,12,0.5803121146285883,0.5552077850154773,0.5879219866323823,0.00017032321164982075
US-Ho1,Howland Forest,resp14c_only,Resp 14C,frac_loss,12,0.07969202538754117,0.07264203495537107,0.08639928804587328,3.4855702642839905e-05
US-Ho1,Howland Forest,resp14c_only,Resp 14C,abs_loss,12,1189.4113464355469,1126.5644653320312,1229.8879486083983,1537.9334121612885
US-Ho1,Howland Forest,resp14c_only,Resp 14C,old_fraction,12,0.8474037317815397,0.8251323077195267,0.8508326391603885,0.00012397661220533342
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",frac_loss,12,0.07162626765052563,0.07062716274601985,0.07269618357340811,5.83641846018774e-07
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",abs_loss,12,915.2496795654297,903.5304565429688,929.7200866699219,91.55342884827405
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",old_fraction,12,0.5968645264162734,0.5905096215222955,0.6069824580210258,3.7526119756923426e-05
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",frac_loss,12,0.0727771885169595,0.07131528969140127,0.07496990343074532,1.7673364259265394e-06
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",abs_loss,12,998.3730316162109,948.3571640014649,1008.5220962524414,588.5994369512014
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",old_fraction,12,0.7290692079333061,0.7052560282134571,0.740720475649924,0.00018160022646885763
US-Ho1,Howland Forest,all_observations,All,frac_loss,12,0.06947730026285837,0.0682610859327738,0.0710980771557224,1.1007258118337064e-06
US-Ho1,Howland Forest,all_observations,All,abs_loss,12,890.7184143066406,875.6021728515625,908.74853515625,151.65576758698532
US-Ho1,Howland Forest,all_observations,All,old_fraction,12,0.5825150060551978,0.5756557787384318,0.6019053803366375,0.000127557719387772
US-EML,Eight-mile Lake,prior_only,Prior,frac_loss,12,0.12724840825991254,0.08898144149022483,0.23408884661193188,0.002465494664319015
US-EML,Eight-mile Lake,prior_only,Prior,abs_loss,12,3744.718994140625,2182.3998107910156,4911.543359374999,1161759.758836182
US-EML,Eight-mile Lake,prior_only,Prior,old_fraction,12,0.7341418280049574,0.5221737971439936,0.8283525824362404,0.012626493157791662
US-EML,Eight-mile Lake,stocks_only,Stocks,frac_loss,12,0.16887594391833916,0.14962322046092044,0.18536874881993914,0.00015824349833440445
US-EML,Eight-mile Lake,stocks_only,Stocks,abs_loss,12,3886.5011596679688,3496.4329162597655,4181.031420898437,53785.67512082783
US-EML,Eight-mile Lake,stocks_only,Stocks,old_fraction,12,0.6267853788693558,0.6017907941185239,0.6592067496291636,0.00046521755882924045
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,frac_loss,12,0.2059914068585939,0.20353553764489238,0.2085360824355581,3.685258086806871e-06
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,abs_loss,12,8428.174072265625,8305.718579101562,8482.669384765624,3904.464974105358
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,old_fraction,12,0.2854626668619905,0.25384156525191626,0.3087559381785411,0.00035029751576684726
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,frac_loss,12,0.17303986535184673,0.15041192039844056,0.18177400920405862,0.00013838217587539977
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,abs_loss,12,8592.658203125,8411.46220703125,8891.43916015625,29618.65576486154
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,old_fraction,12,0.49673127940345735,0.442771582040386,0.588491013634228,0.0027316300257539065
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",frac_loss,12,0.21177105953687608,0.2065884951638039,0.21271510155699275,4.823289158741718e-06
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",abs_loss,12,8620.087646484375,8520.71484375,8696.8046875,3884.391534761949
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",old_fraction,12,0.3504025431174924,0.31514944960419133,0.37165222305062773,0.0004336454948722408
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",frac_loss,12,0.2010307724899506,0.19575154041343565,0.2107054136865139,3.118091847479201e-05
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",abs_loss,12,8319.0078125,8177.20751953125,8430.0693359375,10177.015141622587
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",old_fraction,12,0.3614628530551499,0.3199755914365552,0.40598065488192653,0.0011203831797014089
US-EML,Eight-mile Lake,all_observations,All,frac_loss,12,0.21915893875011688,0.21778756911943478,0.22236939331645617,3.0017513881980283e-06
US-EML,Eight-mile Lake,all_observations,All,abs_loss,12,8271.852294921875,8184.671875,8305.1884765625,2590.707980322115
US-EML,Eight-mile Lake,all_observations,All,old_fraction,12,0.24544487181667593,0.21754450693791832,0.25659667721692997,0.00026652134341971116
