site_id,site_label,subset_key,subset_label,sample_idx,frac_loss,abs_loss,old_fraction
US-Ha1,Harvard Forest,prior_only,Prior,0,0.1992119965665793,1247.007568359375,0.7768643219339534
US-Ha1,Harvard Forest,prior_only,Prior,1,0.2058844742358592,557.1885681152344,0.8170084339708542
US-Ha1,Harvard Forest,prior_only,Prior,2,0.22906328092503403,913.576904296875,0.5857788816794229
US-Ha1,Harvard Forest,prior_only,Prior,3,0.19752406602570968,920.0250244140625,0.6059757227614417
US-Ha1,Harvard Forest,prior_only,Prior,4,0.21509130249951294,1761.547119140625,0.7842086514810085
US-Ha1,Harvard Forest,prior_only,Prior,5,0.22426954911373972,1122.3915557861328,0.7267032596954446
US-Ha1,Harvard Forest,prior_only,Prior,6,0.20111287373626605,1392.4092407226562,0.8200465930675277
US-Ha1,Harvard Forest,prior_only,Prior,7,0.1903411828071666,1655.5416259765625,0.8971686398830099
US-Ha1,Harvard Forest,prior_only,Prior,8,0.18461485855939855,1417.9885864257812,0.8309736895640688
US-Ha1,Harvard Forest,prior_only,Prior,9,0.20358656970054131,880.5250854492188,0.5870457625838684
US-Ha1,Harvard Forest,prior_only,Prior,10,0.2003699225058866,1419.2095947265625,0.9207272125287352
US-Ha1,Harvard Forest,prior_only,Prior,11,0.2103310621474043,803.4923095703125,0.7423912534197094
US-Ha1,Harvard Forest,stocks_only,Stocks,0,0.18133333913687458,1556.1619873046875,0.8410991762434726
US-Ha1,Harvard Forest,stocks_only,Stocks,1,0.18819699243413598,1530.3488159179688,0.845814176954423
US-Ha1,Harvard Forest,stocks_only,Stocks,2,0.18819699243413598,1530.3488159179688,0.845814176954423
US-Ha1,Harvard Forest,stocks_only,Stocks,3,0.19235365336026877,1572.3373413085938,0.8541116417979413
US-Ha1,Harvard Forest,stocks_only,Stocks,4,0.19235365336026877,1572.3373413085938,0.8541116417979413
US-Ha1,Harvard Forest,stocks_only,Stocks,5,0.18930590749734721,1408.9805297851562,0.8609596913698387
US-Ha1,Harvard Forest,stocks_only,Stocks,6,0.1934548751435414,1528.8627319335938,0.86835621389682
US-Ha1,Harvard Forest,stocks_only,Stocks,7,0.1934548751435414,1528.8627319335938,0.86835621389682
US-Ha1,Harvard Forest,stocks_only,Stocks,8,0.19769093040164365,1696.0,0.8851491248976148
US-Ha1,Harvard Forest,stocks_only,Stocks,9,0.19815608160092665,1632.8949584960938,0.8797707807872788
US-Ha1,Harvard Forest,stocks_only,Stocks,10,0.1971262409600374,1640.637451171875,0.8780823639093783
US-Ha1,Harvard Forest,stocks_only,Stocks,11,0.1910751136783954,1606.7691040039062,0.880071338724837
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,0,0.17283835466564965,1936.5245361328125,0.888237200575019
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,1,0.17283835466564965,1936.5245361328125,0.888237200575019
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,2,0.17752993096617997,1978.779296875,0.8953302242444213
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,3,0.1765169587072374,1970.1793823242188,0.8956297803690965
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,4,0.17498976924435172,1952.3147583007812,0.8884706888555425
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,5,0.1727461805820607,1927.9201049804688,0.8870527656678416
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,6,0.1727461805820607,1927.9201049804688,0.8870527656678416
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,7,0.17391563815056216,1923.6890258789062,0.888790947214539
