site_id,site_label,metric,u_soil14c,u_resp14c,prior_variance,stocks_soil14c_variance,stocks_resp14c_variance
US-Ha1,Harvard Forest,frac_loss,0.9187927365642365,0.7505890563075527,0.00016723645056089114,1.358081449676032e-05,4.1710600954167165e-05
US-Ha1,Harvard Forest,old_fraction,0.9939123720176697,0.9954384059782754,0.012978873535502273,7.901055371385036e-05,5.920435192826646e-05
US-A10,Barrow,frac_loss,0.9992455191319796,0.989783532447822,0.0005139362264439649,3.877550502346118e-07,5.250612781353559e-06
US-A10,Barrow,old_fraction,0.9175094425981184,0.9213095090363249,0.002531774351583732,0.00020884747747792936,0.00019922656673536393
US-Ho1,Howland Forest,frac_loss,0.9975336323603219,0.9925315475594094,0.00023664024642122399,5.83641846018774e-07,1.7673364259265394e-06
US-Ho1,Howland Forest,old_fraction,0.9774956766966628,0.8910947831833741,0.0016675071385665143,3.7526119756923426e-05,0.00018160022646885763
US-EML,Eight-mile Lake,frac_loss,0.9980436829864022,0.9873530780958294,0.002465494664319015,4.823289158741718e-06,3.118091847479201e-05
US-EML,Eight-mile Lake,old_fraction,0.9656559038639606,0.9112672722584074,0.012626493157791662,0.0004336454948722408,0.0011203831797014089
