site,site_id,param_index,param_name,param_group,log_tau[soil_active],log_tau[soil_slow],log_tau[soil_passive],log_f_transfer[soil_active→soil_active],log_f_transfer[soil_active→soil_slow],log_f_transfer[soil_active→soil_passive],log_f_transfer[soil_active→resp],log_f_transfer[soil_slow→soil_active],log_f_transfer[soil_slow→soil_slow],log_f_transfer[soil_slow→soil_passive],log_f_transfer[soil_slow→resp],log_f_transfer[soil_passive→soil_active],log_f_transfer[soil_passive→soil_slow],log_f_transfer[soil_passive→soil_passive],log_f_transfer[soil_passive→resp]
Barrow,US-A10,0,log_tau[soil_active],turnover_times,0.3561638383183898,-0.4128598864450906,-0.0223586967833677,-9.180765949503905e-08,-0.0033765894121643,4.066040174363685e-09,0.0033766744476431,4.6641511891263335e-08,8.26255857373222e-09,8.292892237418237e-06,-8.347803992616111e-06,-1.4050632130641044e-09,-2.913720482073964e-10,-5.68974283469426e-12,1.7021249068958644e-09
Barrow,US-A10,1,log_tau[soil_slow],turnover_times,-0.4128598864450908,0.5080201686432888,0.0275115137870623,1.3962024654946301e-07,0.0041548304848499,-5.093137993447813e-09,-0.0041549616820691,-5.2334287319396106e-08,-1.0165987685954509e-08,-1.1179721483719166e-05,1.124223162259806e-05,1.9068447219607708e-09,3.58528990508773e-10,6.405742999838249e-12,-2.2717793743978688e-09
Barrow,US-A10,2,log_tau[soil_passive],turnover_times,-0.0223586967833677,0.0275115137870622,0.0014902752828651,7.561209253483154e-09,0.0002250179746171,-2.1962989356738568e-10,-0.0002250251358677,-2.8348310406436693e-09,-5.511684654722649e-10,4.079255243217716e-09,-6.929816598087682e-10,1.0326637682645839e-10,1.9416772865790366e-11,7.189790240920072e-13,-1.2340212413017744e-10
Barrow,US-A10,3,log_f_transfer[soil_active→soil_active],transfer_fractions,-1.4689224862913344e-10,2.2339238449829856e-10,1.2097934265055196e-11,9.776576623445941e-17,1.827011620325636e-12,-2.2037705581150396e-18,-1.8271057180501164e-12,-1.6113167371713767e-17,-4.4707160566743454e-18,-4.527253792693748e-15,4.547841836267651e-15,1.0813122166136032e-18,1.5765674563424573e-19,3.05417296544034e-21,-1.2420231516107488e-18
Barrow,US-A10,4,log_f_transfer[soil_active→soil_slow],transfer_fractions,-0.0033765894121643,0.0041548304848499,0.0002250179746171,1.141882313721137e-09,3.398078819235779e-05,-3.9479353983432856e-11,-3.39818633618722e-05,-4.2804269663495946e-10,-8.316688941580356e-11,-6.784113737475228e-08,6.835241756492675e-08,1.5595143944144052e-11,2.9322538446138724e-12,6.679109040342902e-14,-1.8594188208534987e-11
Barrow,US-A10,5,log_f_transfer[soil_active→soil_passive],transfer_fractions,6.505663988318421e-12,-8.149020425430284e-12,-3.514078140074346e-13,-2.2037705581150377e-18,-6.316696355128571e-14,1.2507192494690905e-17,6.315660686627885e-14,6.845511204151189e-19,2.2468344627340272e-20,1.3497253265505124e-13,-1.3497329735268162e-13,-3.005765684551136e-20,-5.560854518136735e-21,8.218277623808158e-20,-4.656422287663248e-20
Barrow,US-A10,6,log_f_transfer[soil_active→resp],transfer_fractions,5.4026788748452595e-06,-6.647938394290523e-06,-3.600402013023551e-07,-1.8271057180501168e-12,-5.4370978949780384e-08,6.315660686627884e-14,5.437269932400487e-08,6.84883163782215e-13,1.330713587510313e-13,1.0841525406078119e-10,-1.092333214962866e-10,-2.4953260452372375e-14,-4.691754277611479e-15,-1.0695090864152295e-16,2.9751964565598513e-14
Barrow,US-A10,7,log_f_transfer[soil_slow→soil_active],transfer_fractions,7.462641569182319e-11,-8.373485596988392e-11,-4.535729462380174e-12,-1.611316737171375e-17,-6.848682840170308e-13,6.845511204151191e-19,6.848831637822134e-13,9.93712733030413e-18,1.6773693114224488e-18,1.620128644915485e-16,-1.7362827191716014e-16,-2.6823681603186753e-19,-5.909726145482979e-20,-2.081822832175612e-21,3.29415876518042e-19
Barrow,US-A10,8,log_f_transfer[soil_slow→soil_slow],transfer_fractions,1.3220093127317314e-11,-1.6265579570805113e-11,-8.818695053549976e-13,-4.47071605667435e-18,-1.3306701712004762e-13,2.2468344627340642e-20,1.3307135875103133e-13,1.6773693114224534e-18,3.2708137630283235e-19,-1.1673151272855157e-15,1.1653110116516862e-15,-6.105860556027512e-20,-1.1481385289264479e-20,-1.1362046526602736e-21,7.367619241655136e-20
Barrow,US-A10,9,log_f_transfer[soil_slow→soil_passive],transfer_fractions,8.292892237418239e-06,-1.1179721483719167e-05,4.079255243218422e-09,-2.829533746852981e-12,-6.78411373747523e-08,8.435783667839057e-11,6.775953681538428e-08,1.0125804483127637e-13,-7.295719871496465e-13,9.141536980390136e-07,-9.141534599315108e-07,-3.8372500769506395e-14,-6.6002694128566606e-15,5.577608807960724e-13,-5.127878188325497e-13
