ecosystem,observation_subset,observation_subset_label,draw,mode,turnover_time_years,decomposition_rate_per_year,carbon_stock,respiration_fraction
Harvard Forest,prior_only,Prior,0,fast,2.553293040917052,0.3916510889955802,1422.199462890625,0.8017308593633262
Harvard Forest,prior_only,Prior,0,intermediate,34.66815189869692,0.02884491803664871,3792.867919921875,0.18221422488141756
Harvard Forest,prior_only,Prior,0,slow,119.45379971788945,0.008371437345330754,1044.6337890625,0.01605491575525593
Harvard Forest,prior_only,Prior,1,fast,1.0604988898876768,0.9429524250665792,590.7042236328125,0.7708450439355141
Harvard Forest,prior_only,Prior,1,intermediate,11.764665044848307,0.08500029505199516,1498.1038818359375,0.21925595379913895
Harvard Forest,prior_only,Prior,1,slow,114.44773886133889,0.008737612555295366,617.5084838867188,0.009899002265347043
Harvard Forest,prior_only,Prior,2,fast,3.3970659311279445,0.2943716784642932,1892.1859130859375,0.8171715466543347
Harvard Forest,prior_only,Prior,2,intermediate,16.423464688961435,0.06088849210192059,1664.697265625,0.17099125657078673
Harvard Forest,prior_only,Prior,2,slow,66.73424162817379,0.014984811029572278,431.4335021972656,0.011837196774878512
Harvard Forest,prior_only,Prior,3,fast,3.071463081675328,0.32557773719179806,1710.8232421875,0.8656270732046618
Harvard Forest,prior_only,Prior,3,intermediate,20.62157559138317,0.0484928998547451,1531.012451171875,0.10987331103090894
Harvard Forest,prior_only,Prior,3,slow,106.07675106041653,0.009427136389485054,1415.9512939453125,0.02449961576442925
Harvard Forest,prior_only,Prior,4,fast,4.103022415512377,0.2437227728074993,2285.407958984375,0.6802146196107905
Harvard Forest,prior_only,Prior,4,intermediate,26.461638057033966,0.037790555438958644,4680.6767578125,0.28836340905718544
Harvard Forest,prior_only,Prior,4,slow,71.28274392877161,0.01402864066230724,1223.6798095703125,0.03142197133202414
Harvard Forest,prior_only,Prior,5,fast,2.761887233260218,0.36207126343082763,1538.3875732421875,0.8153961450198548
Harvard Forest,prior_only,Prior,5,intermediate,31.998437100656208,0.03125152634343796,3262.2626953125,0.17449951902075875
Harvard Forest,prior_only,Prior,5,slow,36.90236630215101,0.0270985332434281,204.00399780273438,0.010104335959386715
Harvard Forest,prior_only,Prior,6,fast,2.3839458475575794,0.41947261554809584,1327.8720703125,0.7752498777847374
Harvard Forest,prior_only,Prior,6,intermediate,37.3807550727836,0.026751733560569136,4635.28759765625,0.20602771704031878
Harvard Forest,prior_only,Prior,6,slow,94.07581731217944,0.010629724285908871,960.3615112304688,0.01872240517494376
Harvard Forest,prior_only,Prior,7,fast,1.993242790072981,0.5016950293162158,1110.2481689453125,0.6372256311311865
Harvard Forest,prior_only,Prior,7,intermediate,26.30410758145595,0.038016876143898794,5284.068359375,0.3312073950878935
Harvard Forest,prior_only,Prior,7,slow,133.77731658905398,0.007475108826348088,2303.44189453125,0.031566973780920125
Harvard Forest,prior_only,Prior,8,fast,2.2148060731087265,0.45150679878549765,1233.6602783203125,0.8015395652899087
Harvard Forest,prior_only,Prior,8,intermediate,50.27713242029207,0.01988975806417304,5492.90576171875,0.1847580065267483
Harvard Forest,prior_only,Prior,8,slow,127.86723072925797,0.007820612007445195,954.2273559570312,0.01370242818334314
Harvard Forest,prior_only,Prior,9,fast,3.249483780148794,0.3077411883416787,1809.9818115234375,0.8208748633987968
Harvard Forest,prior_only,Prior,9,intermediate,12.957803879289486,0.07717357117885573,1287.2333984375,0.15865470587050504
Harvard Forest,prior_only,Prior,9,slow,110.04158931923216,0.009087473256124884,1227.8494873046875,0.02047043073069806
Harvard Forest,prior_only,Prior,10,fast,1.309590039827397,0.7635977440175089,729.449462890625,0.670649654216503
