ecosystem,observation_subset,observation_subset_label,draw,q10,delta_temperature_c,year,mode,control_carbon,warm_carbon,control_respiration,warm_respiration,cumulative_control_respiration,cumulative_warm_respiration
Harvard Forest,prior_only,Prior,4,2.0,4.0,50,fast,2160.21875,1603.357421875,11985.42216452477,12365.409920194383,11985.42216452477,12365.409920194383
Harvard Forest,prior_only,Prior,4,2.0,4.0,100,fast,2159.22705078125,1602.4029541015625,23886.09131029358,24266.245030455746,23886.09131029358,24266.245030455746
Harvard Forest,prior_only,Prior,4,2.0,4.0,10,intermediate,4646.09521484375,4459.7109375,1014.6485825301489,1317.2106781533043,1014.6485825301489,1317.2106781533043
Harvard Forest,prior_only,Prior,4,2.0,4.0,50,intermediate,4614.3525390625,3764.144287109375,5095.687596641329,6022.968932470147,5095.687596641329,6022.968932470147
Harvard Forest,prior_only,Prior,4,2.0,4.0,100,intermediate,4580.904296875,3530.21044921875,10126.031579898441,11234.311488348329,10126.031579898441,11234.311488348329
Harvard Forest,prior_only,Prior,4,2.0,4.0,10,slow,1223.2010498046875,1220.7774658203125,109.53958561862392,144.47160544894138,109.53958561862392,144.47160544894138
Harvard Forest,prior_only,Prior,4,2.0,4.0,50,slow,1217.804931640625,1153.9947509765625,553.5457177202429,717.062237846229,553.5457177202429,717.062237846229
Harvard Forest,prior_only,Prior,4,2.0,4.0,100,slow,1208.524658203125,1054.4954833984375,1103.3989196168836,1376.6379566200803,1103.3989196168836,1376.6379566200803
Harvard Forest,prior_only,Prior,5,2.0,4.0,10,fast,1326.5946044921875,981.7693481445312,2785.9813626172545,3067.468882661806,2785.9813626172545,3067.468882661806
Harvard Forest,prior_only,Prior,5,2.0,4.0,50,fast,1408.1966552734375,1033.1156005859375,14352.59427867252,14659.09299924261,14352.59427867252,14659.09299924261
Harvard Forest,prior_only,Prior,5,2.0,4.0,100,fast,1407.272216796875,1032.218994140625,28599.58888005864,28906.452510042414,28599.58888005864,28906.452510042414
Harvard Forest,prior_only,Prior,5,2.0,4.0,10,intermediate,3238.864013671875,3109.36767578125,612.431171000731,794.5942134237127,612.431171000731,794.5942134237127
Harvard Forest,prior_only,Prior,5,2.0,4.0,50,intermediate,3222.006591796875,2667.91650390625,3079.03418838945,3668.0043431755385,3079.03418838945,3668.0043431755385
Harvard Forest,prior_only,Prior,5,2.0,4.0,100,intermediate,3197.8330078125,2484.52392578125,6120.47841315236,6860.014639853013,6120.47841315236,6860.014639853013
Harvard Forest,prior_only,Prior,5,2.0,4.0,10,slow,203.84710693359375,203.069091796875,35.269937886392015,46.49100062217665,35.269937886392015,46.49100062217665
Harvard Forest,prior_only,Prior,5,2.0,4.0,50,slow,202.49761962890625,186.36891174316406,178.04014832267552,227.92907437430694,178.04014832267552,227.92907437430694
Harvard Forest,prior_only,Prior,5,2.0,4.0,100,slow,200.5056610107422,166.47640991210938,354.40424401002815,430.8265243251632,354.40424401002815,430.8265243251632
Harvard Forest,prior_only,Prior,6,2.0,4.0,10,fast,1121.869384765625,818.404052734375,2646.4956345716682,2882.1912876489446,2646.4956345716682,2882.1912876489446
Harvard Forest,prior_only,Prior,6,2.0,4.0,50,fast,1195.8944091796875,874.1387329101562,13658.634595645424,13908.88614842129,13658.634595645424,13908.88614842129
