ecosystem,observation_subset,observation_subset_label,mode,degrees_of_freedom,averaging_kernel_diagonal,posterior_sd,prior_sd,uncertainty_reduction_fraction,information_gain_nats
Howland Forest,prior_only,Prior,intermediate,0.2903993147129549,0.2903993147129549,0.42118899715182645,0.5,0.2903993147129549,0.17152644112506757
Howland Forest,prior_only,Prior,slow,0.1460949629217435,0.1460949629217435,0.46203491131035124,0.5,0.1460949629217435,0.07896764458856874
Howland Forest,stocks_only,Stocks,fast,0.9330732183575319,0.9330732183575319,0.12935105492657192,0.5,0.9330732183575319,1.3520780342256373
Howland Forest,stocks_only,Stocks,intermediate,0.9766601639299363,0.9766601639299363,0.07638690344238293,0.5,0.9766601639299363,1.878796837855179
Howland Forest,stocks_only,Stocks,slow,0.9887659363828999,0.9887659363828999,0.05299543286241781,0.5,0.9887659363828999,2.2444023609903363
Howland Forest,soil14c_only,Soil 14C,fast,0.9999978195205759,0.9999978195205759,0.0007383223253019737,0.5,0.9999978195205759,6.5179828930019
Howland Forest,soil14c_only,Soil 14C,intermediate,0.9884051251246015,0.9884051251246015,0.05383975036020878,0.5,0.9884051251246015,2.2285960497939286
Howland Forest,soil14c_only,Soil 14C,slow,0.883709455143923,0.883709455143923,0.17050699755147666,0.5,0.883709455143923,1.0758317611831594
Howland Forest,resp14c_only,Respired 14C,fast,0.99945100499735,0.99945100499735,0.011715321193313697,0.5,0.99945100499735,3.753710609568651
Howland Forest,resp14c_only,Respired 14C,intermediate,0.963482511405578,0.963482511405578,0.0955477480038411,0.5,0.963482511405578,1.6549819967855979
Howland Forest,resp14c_only,Respired 14C,slow,0.7869394696595812,0.7869394696595812,0.23079240148909735,0.5,0.7869394696595812,0.773089486821117
Howland Forest,stocks_soil14c,Stocks + Soil 14C,fast,0.9999916968509308,0.9999916968509308,0.0014407592676388397,0.5,0.9999916968509308,5.849437854598202
Howland Forest,stocks_soil14c,Stocks + Soil 14C,intermediate,0.9863860651923392,0.9863860651923392,0.058339383797870195,0.5,0.9863860651923392,2.1483306962963646
Howland Forest,stocks_soil14c,Stocks + Soil 14C,slow,0.9883019407121442,0.9883019407121442,0.054078783473409844,0.5,0.9883019407121442,2.2241661618848427
Howland Forest,stocks_resp14c,Stocks + Respired 14C,fast,0.9992521826191423,0.9992521826191423,0.01367312492499164,0.5,0.9992521826191423,3.599175876517982
Howland Forest,stocks_resp14c,Stocks + Respired 14C,intermediate,0.9920943491211568,0.9920943491211568,0.044456863583824884,0.5,0.9920943491211568,2.420088737047838
Howland Forest,stocks_resp14c,Stocks + Respired 14C,slow,0.9819403145842783,0.9819403145842783,0.06719316448814129,0.5,0.9819403145842783,2.0070365749932777
Howland Forest,all_observations,All observations,fast,0.9999940279650288,0.9999940279650288,0.0012218873691133413,0.5,0.9999940279650288,6.014211411222324
Howland Forest,all_observations,All observations,intermediate,0.9627593702977668,0.9627593702977668,0.09648915703620956,0.5,0.9627593702977668,1.6451774587094417
Howland Forest,all_observations,All observations,slow,0.9600768004380767,0.9600768004380767,0.09990395332758771,0.5,0.9600768004380767,1.6103988407019427
Eight-mile Lake,prior_only,Prior,fast,0.5198910826925801,0.5198910826925801,0.3461330621771995,0.49954336881637573,0.5198910826925801,0.3668711448817479
Eight-mile Lake,prior_only,Prior,intermediate,0.3423913487996113,0.3423913487996113,0.40546536572202707,0.5,0.3423913487996113,0.20957263980417495
Eight-mile Lake,prior_only,Prior,slow,0.0,0.0,0.5104279409484228,0.5,0.0,-0.02064137534753752
Eight-mile Lake,stocks_only,Stocks,fast,0.9825400235440722,0.9825400235440722,0.06600776458025294,0.49954336881637573,0.9825400235440722,2.0239220385146672
Eight-mile Lake,stocks_only,Stocks,intermediate,0.9189255983370657,0.9189255983370657,0.1423678349056892,0.5,0.9189255983370657,1.256194003429984
Eight-mile Lake,stocks_only,Stocks,slow,0.9840826046243021,0.9840826046243021,0.06308208021240648,0.5,0.9840826046243021,2.070171359502572
