family,tau_active,tau_slow,tau_passive,f_a_to_s,f_s_to_p
C_stocks,0.0521,0.094,0.0812,0.146,0.056
bulk_14C,0.0414,0.0932,0.1581,0.0137,0.1052
fraction_14C,0.025,0.006,0.0033,0.0048,0.0014
resp_14C,0.0617,0.005,0.0087,0.0795,0.0508
ER_annual,0.054,0.0034,0.0024,0.0206,0.0019
fraction_12C,0.1332,0.1414,0.1177,0.064,0.0877
